"","MatSib","i","j","iSam","jSam","het_het","het_homo","homo_het","homo_homo","len_i","len_j","tot_i","tot_j","logicSum","totSum","totMean","totProp","crToIb","ibToCr","ibToIb","fs","minTest","iSam_mother","iSam_father","jSam_mother","jSam_father","""...""","mother","sample","origin","code","n_tot","n_delly","n_gatk","nr_n","nr_het","nr_homo","nr_uni","nr_uniHet","nr_uniHomo","motherDL","sampleDL","lfm_n","lfm_het","lfm_homo","lfm_hetProp","cp_logic","father","likelySelf","originMod","coverage","cp_status","""...""","mother","sample","origin","code","n_tot","n_delly","n_gatk","nr_n","nr_het","nr_homo","nr_uni","nr_uniHet","nr_uniHomo","motherDL","sampleDL","lfm_n","lfm_het","lfm_homo","lfm_hetProp","cp_logic","father","likelySelf","originMod","coverage","cp_status"
"FIL30_56_H_M2515",TRUE,517,516,"FIL30_56_H_M2","FIL30_56_G_M2",47,4,10,8,78,81,100,91,69,191,95.5,0.722513089005236,17.3791208791209,8.27,18.3475130890052,0.229450549450549,0.229450549450549,"FIL30_56","FIL30_56","FIL30_56","FIL30_56","...","FIL30_56","FIL30_56_H_M2","Fil30_56_H_M2_1","FIL30_56|FIL30_56_H_M2|Fil30_56_H_M2_1",109,12,97,100,25,75,20,19,1,TRUE,FALSE,88,65,23,0.738636363636364,FALSE,"FIL30_56",TRUE,"FIL30_56_H_M2_1",56.6991454251293,"Self","...","FIL30_56","FIL30_56_G_M2","Fil30_56_G_M2_1","FIL30_56|FIL30_56_G_M2|Fil30_56_G_M2_1",96,14,82,91,13,78,10,10,NA,TRUE,FALSE,77,64,13,0.831168831168831,FALSE,"FIL30_56",TRUE,"FIL30_56_G_M2_1",57.2006427557988,"Self"
"FIL20_199_B_M221",TRUE,21,22,"FIL20_199_B_M2","FIL20_199_D_M2",38,2,16,5,67,78,80,90,61,170,85,0.717647058823529,13.4,5.35,14.5970588235294,1.18888888888889,1.18888888888889,"FIL20_199","FIL20_199","FIL20_199","FIL20_199","...","FIL20_199","FIL20_199_B_M2","Fil20_199_B_M2_1","FIL20_199|FIL20_199_B_M2|Fil20_199_B_M2_1",88,13,75,80,23,57,12,12,NA,TRUE,FALSE,70,49,21,0.7,FALSE,"FIL20_199",TRUE,"FIL20_199_B_M2_1",49.4836214658742,"Self","...","FIL20_199","FIL20_199_D_M2","Fil20_199_D_M2_1","FIL20_199|FIL20_199_D_M2|Fil20_199_D_M2_1",99,13,86,90,9,81,12,12,NA,TRUE,FALSE,81,72,9,0.888888888888889,FALSE,"FIL20_199",TRUE,"FIL20_199_D_M2_1",52.613545768796,"Self"
"FIL20_199_D_M220",TRUE,22,21,"FIL20_199_D_M2","FIL20_199_B_M2",38,16,2,5,78,67,90,80,61,170,85,0.717647058823529,5.35,13.4,14.5970588235294,1.18888888888889,1.18888888888889,"FIL20_199","FIL20_199","FIL20_199","FIL20_199","...","FIL20_199","FIL20_199_D_M2","Fil20_199_D_M2_1","FIL20_199|FIL20_199_D_M2|Fil20_199_D_M2_1",99,13,86,90,9,81,12,12,NA,TRUE,FALSE,81,72,9,0.888888888888889,FALSE,"FIL20_199",TRUE,"FIL20_199_D_M2_1",52.613545768796,"Self","...","FIL20_199","FIL20_199_B_M2","Fil20_199_B_M2_1","FIL20_199|FIL20_199_B_M2|Fil20_199_B_M2_1",88,13,75,80,23,57,12,12,NA,TRUE,FALSE,70,49,21,0.7,FALSE,"FIL20_199",TRUE,"FIL20_199_B_M2_1",49.4836214658742,"Self"
"FIL20_199_D_M222",TRUE,22,23,"FIL20_199_D_M2","FIL20_199_E_M2",33,20,6,3,78,68,90,85,62,175,87.5,0.708571428571429,3.17058823529412,5.7,10.0935714285714,5.32352941176471,3.17058823529412,"FIL20_199","FIL20_199","FIL20_199","FIL20_199","...","FIL20_199","FIL20_199_D_M2","Fil20_199_D_M2_1","FIL20_199|FIL20_199_D_M2|Fil20_199_D_M2_1",99,13,86,90,9,81,12,12,NA,TRUE,FALSE,81,72,9,0.888888888888889,FALSE,"FIL20_199",TRUE,"FIL20_199_D_M2_1",52.613545768796,"Self","...","FIL20_199","FIL20_199_E_M2","Fil20_199_E_M2_1","FIL20_199|FIL20_199_E_M2|Fil20_199_E_M2_1",98,15,83,85,23,62,15,15,NA,TRUE,FALSE,74,54,20,0.72972972972973,FALSE,"FIL20_199",TRUE,"FIL20_199_E_M2_1",62.670881541412,"Self"
"FIL20_199_E_M221",TRUE,23,22,"FIL20_199_E_M2","FIL20_199_D_M2",33,6,20,3,68,78,85,90,62,175,87.5,0.708571428571429,5.7,3.17058823529412,10.0935714285714,5.32352941176471,3.17058823529412,"FIL20_199","FIL20_199","FIL20_199","FIL20_199","...","FIL20_199","FIL20_199_E_M2","Fil20_199_E_M2_1","FIL20_199|FIL20_199_E_M2|Fil20_199_E_M2_1",98,15,83,85,23,62,15,15,NA,TRUE,FALSE,74,54,20,0.72972972972973,FALSE,"FIL20_199",TRUE,"FIL20_199_E_M2_1",62.670881541412,"Self","...","FIL20_199","FIL20_199_D_M2","Fil20_199_D_M2_1","FIL20_199|FIL20_199_D_M2|Fil20_199_D_M2_1",99,13,86,90,9,81,12,12,NA,TRUE,FALSE,81,72,9,0.888888888888889,FALSE,"FIL20_199",TRUE,"FIL20_199_D_M2_1",52.613545768796,"Self"
"FIL30_56_C_M2515",TRUE,513,516,"FIL30_56_C_M2","FIL30_56_G_M2",40,7,7,5,66,81,78,91,59,169,84.5,0.698224852071006,7.47802197802198,10.3076923076923,12.6886094674556,0.69047619047619,0.69047619047619,"FIL30_56","FIL30_56","FIL30_56","FIL30_56","...","FIL30_56","FIL30_56_C_M2","Fil30_56_C_M2_1","FIL30_56|FIL30_56_C_M2|Fil30_56_C_M2_1",86,10,76,78,13,65,11,10,1,TRUE,FALSE,68,55,13,0.808823529411765,FALSE,"FIL30_56",TRUE,"FIL30_56_C_M2_1",56.4051244018114,"Self","...","FIL30_56","FIL30_56_G_M2","Fil30_56_G_M2_1","FIL30_56|FIL30_56_G_M2|Fil30_56_G_M2_1",96,14,82,91,13,78,10,10,NA,TRUE,FALSE,77,64,13,0.831168831168831,FALSE,"FIL30_56",TRUE,"FIL30_56_G_M2_1",57.2006427557988,"Self"
"FIL30_56_G_M2512",TRUE,516,513,"FIL30_56_G_M2","FIL30_56_C_M2",40,7,7,5,81,66,91,78,59,169,84.5,0.698224852071006,10.3076923076923,7.47802197802198,12.6886094674556,0.69047619047619,0.69047619047619,"FIL30_56","FIL30_56","FIL30_56","FIL30_56","...","FIL30_56","FIL30_56_G_M2","Fil30_56_G_M2_1","FIL30_56|FIL30_56_G_M2|Fil30_56_G_M2_1",96,14,82,91,13,78,10,10,NA,TRUE,FALSE,77,64,13,0.831168831168831,FALSE,"FIL30_56",TRUE,"FIL30_56_G_M2_1",57.2006427557988,"Self","...","FIL30_56","FIL30_56_C_M2","Fil30_56_C_M2_1","FIL30_56|FIL30_56_C_M2|Fil30_56_C_M2_1",86,10,76,78,13,65,11,10,1,TRUE,FALSE,68,55,13,0.808823529411765,FALSE,"FIL30_56",TRUE,"FIL30_56_C_M2_1",56.4051244018114,"Self"
"FIL30_109_G_M265",TRUE,63,66,"FIL30_109_G_M2","FIL30_109_J_M2",24,2,7,18,63,60,75,73,51,148,74,0.689189189189189,8.5,2.46,33.6891891891892,9.14082191780822,2.46,"FIL30_109","FIL30_109","FIL30_109","FIL30_109","...","FIL30_109","FIL30_109_G_M2","Fil30_109_G_M2_1","FIL30_109|FIL30_109_G_M2|Fil30_109_G_M2_1",79,11,68,75,28,47,12,11,1,TRUE,FALSE,66,38,28,0.575757575757576,FALSE,"FIL30_109",TRUE,"FIL30_109_G_M2_1",85.8312251644565,"Self","...","FIL30_109","FIL30_109_J_M2","Fil30_109_J_M2_1","FIL30_109|FIL30_109_J_M2|Fil30_109_J_M2_1",77,3,74,73,23,50,13,11,2,TRUE,FALSE,70,47,23,0.671428571428571,FALSE,"FIL30_109",TRUE,"FIL30_109_J_M2_1",67.2325707411647,"Self"
"FIL30_109_J_M262",TRUE,66,63,"FIL30_109_J_M2","FIL30_109_G_M2",24,7,2,18,60,63,73,75,51,148,74,0.689189189189189,2.46,8.5,33.6891891891892,9.14082191780822,2.46,"FIL30_109","FIL30_109","FIL30_109","FIL30_109","...","FIL30_109","FIL30_109_J_M2","Fil30_109_J_M2_1","FIL30_109|FIL30_109_J_M2|Fil30_109_J_M2_1",77,3,74,73,23,50,13,11,2,TRUE,FALSE,70,47,23,0.671428571428571,FALSE,"FIL30_109",TRUE,"FIL30_109_J_M2_1",67.2325707411647,"Self","...","FIL30_109","FIL30_109_G_M2","Fil30_109_G_M2_1","FIL30_109|FIL30_109_G_M2|Fil30_109_G_M2_1",79,11,68,75,28,47,12,11,1,TRUE,FALSE,66,38,28,0.575757575757576,FALSE,"FIL30_109",TRUE,"FIL30_109_G_M2_1",85.8312251644565,"Self"
"FIL30_56_B_M2513",TRUE,512,514,"FIL30_56_B_M2","FIL30_56_D_M2",27,22,11,3,77,79,91,94,63,185,92.5,0.681081081081081,3.15957446808511,1.51098901098901,7.42905405405405,16.0326163198504,1.51098901098901,"FIL30_56","FIL30_56","FIL30_56","FIL30_56","...","FIL30_56","FIL30_56_B_M2","Fil30_56_B_M2_1","FIL30_56|FIL30_56_B_M2|Fil30_56_B_M2_1",97,13,84,91,17,74,13,13,NA,TRUE,FALSE,78,62,16,0.794871794871795,FALSE,"FIL30_56",TRUE,"FIL30_56_B_M2_1",53.451204062933,"Self","...","FIL30_56","FIL30_56_D_M2","Fil30_56_D_M2_1","FIL30_56|FIL30_56_D_M2|Fil30_56_D_M2_1",102,14,88,94,26,68,15,15,NA,TRUE,FALSE,82,56,26,0.682926829268293,FALSE,"FIL30_56",TRUE,"FIL30_56_D_M2_1",80.7173154766932,"Self"
