"","mother","sample","origin","code","n_tot","n_delly","n_gatk","nr_n","nr_het","nr_homo","nr_uni","nr_uniHet","nr_uniHomo","motherDL","sampleDL","lfm_n","lfm_het","lfm_homo","lfm_hetProp","cp_logic","father","likelySelf","originMod","coverage","cp_status"
"459","FIL30_398","FIL30_398_M2","FIL30.398.M2","FIL30_398|FIL30_398_M2|FIL30.398.M2",97,13,84,92,30,62,84,55,29,FALSE,FALSE,80,53,27,0.6625,FALSE,"FIL30_398",TRUE,"FIL30_398_M2",57.3168093859329,"Self"
"591","FIL30_399","FIL30_399_M2","FIL30.399.M2","FIL30_399|FIL30_399_M2|FIL30.399.M2",132,29,103,119,26,93,105,81,24,FALSE,FALSE,99,78,21,0.787878787878788,FALSE,"FIL30_399",TRUE,"FIL30_399_M2",66.3419459501135,"Self"
"401","FIL30_4","FIL30_4_M2","FIL30_4_M2-3","FIL30_4|FIL30_4_M2|FIL30_4_M2-3",67,8,59,61,25,36,55,31,24,FALSE,FALSE,55,32,23,0.581818181818182,FALSE,"FIL30_4",TRUE,"FIL30_4_M2_3",56.1627263475092,"Self"
"1278","FIL30_40","FIL30_40_M2","FIL30_40_M2-2","FIL30_40|FIL30_40_M2|FIL30_40_M2-2",96,11,85,91,31,60,88,58,30,FALSE,FALSE,81,51,30,0.62962962962963,FALSE,"FIL30_40",TRUE,"FIL30_40_M2_2",50.1701406227322,"Self"
"2061","FIL30_401","FIL30_401_M2","FIL30.401.M2","FIL30_401|FIL30_401_M2|FIL30.401.M2",110,14,96,105,32,73,95,64,31,FALSE,FALSE,94,62,32,0.659574468085106,FALSE,"FIL30_401",TRUE,"FIL30_401_M2",72.9994772864735,"Self"
"535","FIL30_402","FIL30_402_M2","FIL30.402.M2","FIL30_402|FIL30_402_M2|FIL30.402.M2",96,23,73,86,30,56,75,49,26,FALSE,FALSE,69,42,27,0.608695652173913,FALSE,"FIL30_402",TRUE,"FIL30_402_M2",53.7588634992964,"Self"
"3768","FIL30_403","FIL30_403_M2","FIL30.403.M2","FIL30_403|FIL30_403_M2|FIL30.403.M2",95,33,62,74,31,43,62,35,27,FALSE,FALSE,56,29,27,0.517857142857143,FALSE,"FIL30_403",TRUE,"FIL30_403_M2",55.6414117956531,"Self"
"293","FIL30_404","FIL30_404_M2","FIL30.404.M2","FIL30_404|FIL30_404_M2|FIL30.404.M2",95,14,81,85,21,64,76,58,18,FALSE,FALSE,72,52,20,0.722222222222222,FALSE,"FIL30_404",TRUE,"FIL30_404_M2",49.7275729314921,"Self"
"230","FIL30_405","FIL30_405_M2","FIL30.405.M2","FIL30_405|FIL30_405_M2|FIL30.405.M2",120,34,86,105,31,74,93,67,26,FALSE,FALSE,76,46,30,0.605263157894737,FALSE,"FIL30_405",TRUE,"FIL30_405_M2",47.3248048438241,"Self"
"1790","FIL30_406","FIL30_406_M2","FIL30.406.M2","FIL30_406|FIL30_406_M2|FIL30.406.M2",120,29,91,113,22,91,51,47,4,FALSE,FALSE,85,66,19,0.776470588235294,FALSE,"FIL30_406",TRUE,"FIL30_406_M2",42.0837104462106,"Self"
"2078","FIL30_407","FIL30_407_M2","FIL30.407.M2","FIL30_407|FIL30_407_M2|FIL30.407.M2",117,28,89,108,NA,108,50,50,NA,FALSE,FALSE,85,85,NA,1,TRUE,NA,FALSE,"FIL30_407_M2",50.9518259538486,"Cross"
"131","FIL30_408","FIL30_408_M2","FIL30.408.M2","FIL30_408|FIL30_408_M2|FIL30.408.M2",138,36,102,128,30,98,109,82,27,FALSE,FALSE,98,72,26,0.73469387755102,FALSE,"FIL30_408",TRUE,"FIL30_408_M2",51.134664321144,"Self"
"252","FIL30_409","FIL30_409_M2","FIL30.409.M2","FIL30_409|FIL30_409_M2|FIL30.409.M2",97,34,63,86,NA,86,64,64,NA,FALSE,FALSE,61,61,NA,1,TRUE,NA,FALSE,"FIL30_409_M2",60.7379219577182,"Cross"
"2988","FIL30_41","FIL30_41_M2","FIL30.41.M2","FIL30_41|FIL30_41_M2|FIL30.41.M2",119,24,95,105,26,79,96,72,24,FALSE,FALSE,87,63,24,0.724137931034483,FALSE,"FIL30_41",TRUE,"FIL30_41_M2",51.9086555479583,"Self"
"1057","FIL30_411","FIL30_411_M2","FIL30.411.M2","FIL30_411|FIL30_411_M2|FIL30.411.M2",69,10,59,68,43,25,63,22,41,FALSE,FALSE,59,17,42,0.288135593220339,FALSE,"FIL30_411",TRUE,"FIL30_411_M2",38.819562981476,"Self"
"106","FIL30_412","FIL30_412_M2","FIL30.412.M2","FIL30_412|FIL30_412_M2|FIL30.412.M2",95,25,70,84,15,69,63,51,12,FALSE,FALSE,65,52,13,0.8,FALSE,"FIL30_412",TRUE,"FIL30_412_M2",35.3733043470495,"Self"
"523","FIL30_414","FIL30_414_M2","FIL30.414.M2","FIL30_414|FIL30_414_M2|FIL30.414.M2",67,13,54,64,20,44,60,40,20,FALSE,FALSE,52,32,20,0.615384615384615,FALSE,"FIL30_414",TRUE,"FIL30_414_M2",67.0703704821448,"Self"
"732","FIL30_415","FIL30_415_M2","FIL30.415.M2","FIL30_415|FIL30_415_M2|FIL30.415.M2",133,43,90,122,1,121,83,83,NA,FALSE,FALSE,89,88,1,0.98876404494382,FALSE,NA,FALSE,"FIL30_415_M2",46.2305856383824,"Ambiguous"
"539","FIL30_416","FIL30_416_M2","FIL30.416.M2","FIL30_416|FIL30_416_M2|FIL30.416.M2",99,36,63,87,24,63,26,22,4,FALSE,FALSE,60,40,20,0.666666666666667,FALSE,"FIL30_416",TRUE,"FIL30_416_M2",53.5377372265322,"Self"
"540","FIL30_417","FIL30_417_M2","FIL30.417.M2","FIL30_417|FIL30_417_M2|FIL30.417.M2",88,20,68,76,21,55,21,17,4,FALSE,FALSE,60,40,20,0.666666666666667,FALSE,"FIL30_417",TRUE,"FIL30_417_M2",60.3000608192961,"Self"
"1859","FIL30_419","FIL30_419_M2","FIL30.419.M2","FIL30_419|FIL30_419_M2|FIL30.419.M2",116,50,66,101,22,79,78,58,20,FALSE,FALSE,63,44,19,0.698412698412698,FALSE,"FIL30_419",TRUE,"FIL30_419_M2",37.278080847895,"Self"
"103","FIL30_42","FIL30_42_M2","FIL30_42_M2-2","FIL30_42|FIL30_42_M2|FIL30_42_M2-2",58,8,50,55,31,24,46,20,26,FALSE,FALSE,49,19,30,0.387755102040816,FALSE,"FIL30_42",TRUE,"FIL30_42_M2_2",44.5403047666587,"Self"
"1822","FIL30_421","FIL30_421_M2","FIL30.421.M2","FIL30_421|FIL30_421_M2|FIL30.421.M2",134,29,105,118,28,90,92,69,23,FALSE,FALSE,95,71,24,0.747368421052632,FALSE,"FIL30_421",TRUE,"FIL30_421_M2",48.8623491761285,"Self"
"1878","FIL30_422","FIL30_422_M2","FIL30.422.M2","FIL30_422|FIL30_422_M2|FIL30.422.M2",109,35,74,96,23,73,77,55,22,FALSE,FALSE,69,48,21,0.695652173913043,FALSE,"FIL30_422",TRUE,"FIL30_422_M2",61.0808789360542,"Self"
"3166","FIL30_423","FIL30_423_M2","FIL30.423.M2","FIL30_423|FIL30_423_M2|FIL30.423.M2",165,56,109,134,39,95,107,71,36,FALSE,FALSE,93,65,28,0.698924731182796,FALSE,"FIL30_423",TRUE,"FIL30_423_M2",52.6496224001855,"Self"
"247","FIL30_424","FIL30_424_M2","FIL30.424.M2","FIL30_424|FIL30_424_M2|FIL30.424.M2",109,34,75,88,42,46,76,37,39,FALSE,FALSE,65,32,33,0.492307692307692,FALSE,"FIL30_424",TRUE,"FIL30_424_M2",65.9470692265652,"Self"
"870","FIL30_425","FIL30_425_M2","FIL30.425.M2","FIL30_425|FIL30_425_M2|FIL30.425.M2",102,15,87,92,25,67,77,58,19,FALSE,FALSE,78,54,24,0.692307692307692,FALSE,"FIL30_425",TRUE,"FIL30_425_M2",44.970195772024,"Self"
"2538","FIL30_426","FIL30_426_M2","FIL30.426.M2","FIL30_426|FIL30_426_M2|FIL30.426.M2",98,26,72,91,26,65,76,51,25,FALSE,FALSE,68,45,23,0.661764705882353,FALSE,"FIL30_426",TRUE,"FIL30_426_M2",51.7791881993186,"Self"
"1120","FIL30_427","FIL30_427_M2","FIL30.427.M2","FIL30_427|FIL30_427_M2|FIL30.427.M2",142,54,88,119,37,82,98,62,36,FALSE,FALSE,84,52,32,0.619047619047619,FALSE,"FIL30_427",TRUE,"FIL30_427_M2",62.8836561881388,"Self"
"1246","FIL30_428","FIL30_428_M2","FIL30.428.M2","FIL30_428|FIL30_428_M2|FIL30.428.M2",103,14,89,92,28,64,76,56,20,FALSE,FALSE,79,52,27,0.658227848101266,FALSE,"FIL30_428",TRUE,"FIL30_428_M2",49.133888869754,"Self"
"987","FIL30_429","FIL30_429_M2","FIL30.429.M2","FIL30_429|FIL30_429_M2|FIL30.429.M2",137,39,98,113,31,82,90,61,29,FALSE,FALSE,90,64,26,0.711111111111111,FALSE,"FIL30_429",TRUE,"FIL30_429_M2",49.5409512929407,"Self"
"5832","FIL30_43","FIL30_43_A_M2","Fil30_43_A_M2_1","FIL30_43|FIL30_43_A_M2|Fil30_43_A_M2_1",36,2,34,35,NA,35,19,19,NA,TRUE,FALSE,26,26,NA,1,TRUE,NA,FALSE,"FIL30_43_A_M2_1",59.6832281434657,"Cross"
"990","FIL30_43","FIL30_43_B_M2","Fil30_43_B_M2_1","FIL30_43|FIL30_43_B_M2|Fil30_43_B_M2_1",23,7,16,20,3,17,9,9,NA,TRUE,FALSE,10,8,2,0.8,FALSE,NA,FALSE,"FIL30_43_B_M2_1",46.3139964952105,"Ambiguous"
"1075","FIL30_43","FIL30_43_C_M2","Fil30_43_C_M2_1","FIL30_43|FIL30_43_C_M2|Fil30_43_C_M2_1",23,3,20,22,5,17,13,11,2,TRUE,FALSE,13,11,2,0.846153846153846,FALSE,NA,FALSE,"FIL30_43_C_M2_1",44.5347296029504,"Ambiguous"
"722","FIL30_43","FIL30_43_D_M2","Fil30_43_D_M2_1","FIL30_43|FIL30_43_D_M2|Fil30_43_D_M2_1",33,4,29,29,1,28,20,20,NA,TRUE,FALSE,23,22,1,0.956521739130435,FALSE,NA,FALSE,"FIL30_43_D_M2_1",53.305989351354,"Ambiguous"
"1294","FIL30_43","FIL30_43_E_M2","Fil30_43_E_M2_1","FIL30_43|FIL30_43_E_M2|Fil30_43_E_M2_1",29,1,28,27,1,26,18,18,NA,TRUE,FALSE,20,20,NA,1,TRUE,NA,FALSE,"FIL30_43_E_M2_1",68.4975541556113,"Cross"
"8354","FIL30_43","FIL30_43_F_M2","Fil30_43_F_M2_1","FIL30_43|FIL30_43_F_M2|Fil30_43_F_M2_1",25,10,15,19,2,17,7,7,NA,TRUE,FALSE,9,8,1,0.888888888888889,FALSE,NA,FALSE,"FIL30_43_F_M2_1",39.8389480345368,"Ambiguous"
"10102","FIL30_43","FIL30_43_G_M2","Fil30_43_G_M2_1","FIL30_43|FIL30_43_G_M2|Fil30_43_G_M2_1",16,1,15,15,2,13,7,7,NA,TRUE,FALSE,9,9,NA,1,FALSE,NA,FALSE,"FIL30_43_G_M2_1",76.3197016700569,"Ambiguous"
"54","FIL30_43","FIL30_43_H_M2","Fil30_43_H_M2_1","FIL30_43|FIL30_43_H_M2|Fil30_43_H_M2_1",21,1,20,21,1,20,14,14,NA,TRUE,FALSE,15,15,NA,1,TRUE,NA,FALSE,"FIL30_43_H_M2_1",59.6469808822554,"Cross"
"5333","FIL30_43","FIL30_43_I_M2","Fil30_43_I_M2_1","FIL30_43|FIL30_43_I_M2|Fil30_43_I_M2_1",38,6,32,35,NA,35,24,24,NA,TRUE,FALSE,25,25,NA,1,TRUE,NA,FALSE,"FIL30_43_I_M2_1",45.9760706288393,"Cross"
"8315","FIL30_43","FIL30_43_J_M2","Fil30_43_J_M2_1","FIL30_43|FIL30_43_J_M2|Fil30_43_J_M2_1",23,6,17,21,3,18,14,14,NA,TRUE,FALSE,13,13,NA,1,TRUE,NA,FALSE,"FIL30_43_J_M2_1",70.1430774009106,"Cross"
"1608","FIL30_430","FIL30_430_M2","FIL30.430.M2","FIL30_430|FIL30_430_M2|FIL30.430.M2",138,45,93,111,33,78,88,62,26,FALSE,FALSE,84,60,24,0.714285714285714,FALSE,"FIL30_430",TRUE,"FIL30_430_M2",51.2826285709992,"Self"
"13","FIL30_431","FIL30_431_M2","FIL30.431.M2","FIL30_431|FIL30_431_M2|FIL30.431.M2",86,8,78,78,18,60,71,55,16,FALSE,FALSE,74,57,17,0.77027027027027,FALSE,"FIL30_431",TRUE,"FIL30_431_M2",51.8920031125213,"Self"
"336","FIL30_432","FIL30_432_M2","FIL30.432.M2","FIL30_432|FIL30_432_M2|FIL30.432.M2",102,17,85,95,35,60,56,36,20,FALSE,FALSE,79,51,28,0.645569620253165,FALSE,"FIL30_432",TRUE,"FIL30_432_M2",61.5370528713463,"Self"
"85","FIL30_433","FIL30_433_M2","FIL30.433.M2","FIL30_433|FIL30_433_M2|FIL30.433.M2",142,43,99,119,1,118,95,95,NA,FALSE,FALSE,89,89,NA,1,TRUE,NA,FALSE,"FIL30_433_M2",49.4218970939142,"Cross"
"1228","FIL30_434","FIL30_434_M2","FIL30.434.M2","FIL30_434|FIL30_434_M2|FIL30.434.M2",112,38,74,94,12,82,72,64,8,FALSE,FALSE,67,56,11,0.835820895522388,FALSE,"FIL30_434",TRUE,"FIL30_434_M2",64.9045919616708,"Self"
"1740","FIL30_435","FIL30_435_M2","FIL30.435.M2","FIL30_435|FIL30_435_M2|FIL30.435.M2",75,18,57,71,20,51,65,48,17,FALSE,FALSE,56,40,16,0.714285714285714,FALSE,"FIL30_435",TRUE,"FIL30_435_M2",55.1587336439987,"Self"
"1045","FIL30_436","FIL30_436_M2","FIL30.436.M2","FIL30_436|FIL30_436_M2|FIL30.436.M2",74,13,61,69,21,48,64,45,19,FALSE,FALSE,58,40,18,0.689655172413793,FALSE,"FIL30_436",TRUE,"FIL30_436_M2",54.0094931274626,"Self"
"836","FIL30_437","FIL30_437_M2","FIL30.437.M2","FIL30_437|FIL30_437_M2|FIL30.437.M2",66,12,54,63,34,29,21,16,5,FALSE,FALSE,54,23,31,0.425925925925926,FALSE,"FIL30_437",TRUE,"FIL30_437_M2",56.7060897497766,"Self"
"318","FIL30_438","FIL30_438_M2","FIL30.438.M2","FIL30_438|FIL30_438_M2|FIL30.438.M2",122,24,98,113,39,74,60,39,21,FALSE,FALSE,93,58,35,0.623655913978495,FALSE,"FIL30_438",TRUE,"FIL30_438_M2",52.8389857581847,"Self"
"924","FIL30_439","FIL30_439_M2","FIL30.439.M2","FIL30_439|FIL30_439_M2|FIL30.439.M2",98,25,73,81,34,47,66,36,30,FALSE,FALSE,64,35,29,0.546875,FALSE,"FIL30_439",TRUE,"FIL30_439_M2",58.8350649586184,"Self"
"834","FIL30_44","FIL30_44_M2","FIL30_44_M2-2","FIL30_44|FIL30_44_M2|FIL30_44_M2-2",92,16,76,89,27,62,85,60,25,FALSE,FALSE,73,48,25,0.657534246575342,FALSE,"FIL30_44",TRUE,"FIL30_44_M2_2",59.2371256594488,"Self"
"1627","FIL30_441","FIL30_441_M2","FIL30.441.M2","FIL30_441|FIL30_441_M2|FIL30.441.M2",120,38,82,110,27,83,98,73,25,FALSE,FALSE,78,53,25,0.67948717948718,FALSE,"FIL30_441",TRUE,"FIL30_441_M2",55.5607460411682,"Self"
"1215","FIL30_442","FIL30_442_M2","FIL30.442.M2","FIL30_442|FIL30_442_M2|FIL30.442.M2",92,20,72,88,23,65,45,39,6,FALSE,FALSE,72,53,19,0.736111111111111,FALSE,"FIL30_442",TRUE,"FIL30_442_M2",65.0928371610237,"Self"
"1503","FIL30_444","FIL30_444_M2","FIL30.444.M2","FIL30_444|FIL30_444_M2|FIL30.444.M2",153,64,89,129,41,88,102,63,39,FALSE,FALSE,82,47,35,0.573170731707317,FALSE,"FIL30_444",TRUE,"FIL30_444_M2",58.4305951464266,"Self"
"950","FIL30_445","FIL30_445_M2","FIL30.445.M2","FIL30_445|FIL30_445_M2|FIL30.445.M2",132,50,82,105,25,80,76,58,18,FALSE,FALSE,68,44,24,0.647058823529412,FALSE,"FIL30_445",TRUE,"FIL30_445_M2",47.3420534205268,"Self"
"644","FIL30_446","FIL30_446_M2","FIL30.446.M2","FIL30_446|FIL30_446_M2|FIL30.446.M2",109,31,78,98,13,85,46,43,3,FALSE,FALSE,77,66,11,0.857142857142857,FALSE,"FIL30_446",TRUE,"FIL30_446_M2",52.9958466474128,"Self"
"153","FIL30_448","FIL30_448_M2","FIL30.448.M2","FIL30_448|FIL30_448_M2|FIL30.448.M2",95,26,69,81,32,49,66,36,30,FALSE,FALSE,63,33,30,0.523809523809524,FALSE,"FIL30_448",TRUE,"FIL30_448_M2",58.7327579716826,"Self"
"775","FIL30_451","FIL30_451_M2","FIL30.451.M2","FIL30_451|FIL30_451_M2|FIL30.451.M2",84,23,61,70,29,41,59,33,26,FALSE,FALSE,54,31,23,0.574074074074074,FALSE,"FIL30_451",TRUE,"FIL30_451_M2",47.9358385814555,"Self"
"677","FIL30_452","FIL30_452_M2","FIL30.452.M2","FIL30_452|FIL30_452_M2|FIL30.452.M2",118,35,83,104,27,77,85,60,25,FALSE,FALSE,80,55,25,0.6875,FALSE,"FIL30_452",TRUE,"FIL30_452_M2",53.3286364602281,"Self"
"424","FIL30_453","FIL30_453_M2","FIL30.453.M2","FIL30_453|FIL30_453_M2|FIL30.453.M2",106,43,63,84,21,63,63,45,18,FALSE,FALSE,57,42,15,0.736842105263158,FALSE,"FIL30_453",TRUE,"FIL30_453_M2",52.185825982807,"Self"
"291","FIL30_454","FIL30_454_M2","FIL30.454.M2","FIL30_454|FIL30_454_M2|FIL30.454.M2",104,46,58,82,20,62,63,45,18,FALSE,FALSE,56,38,18,0.678571428571429,FALSE,"FIL30_454",TRUE,"FIL30_454_M2",55.3142805488135,"Self"
"4469","FIL30_455","FIL30_455_M2","FIL30.455.M2","FIL30_455|FIL30_455_M2|FIL30.455.M2",73,12,61,66,22,44,59,39,20,FALSE,FALSE,57,36,21,0.631578947368421,FALSE,"FIL30_455",TRUE,"FIL30_455_M2",67.2426321222307,"Self"
"260","FIL30_457","FIL30_457_M2","FIL30.457.M2","FIL30_457|FIL30_457_M2|FIL30.457.M2",163,73,90,118,22,96,90,69,21,FALSE,FALSE,82,66,16,0.804878048780488,FALSE,"FIL30_457",TRUE,"FIL30_457_M2",45.6758575350995,"Self"
"158","FIL30_458","FIL30_458_M2","FIL30.458.M2","FIL30_458|FIL30_458_M2|FIL30.458.M2",93,25,68,81,24,57,69,48,21,FALSE,FALSE,63,45,18,0.714285714285714,FALSE,"FIL30_458",TRUE,"FIL30_458_M2",54.4885788222471,"Self"
"1036","FIL30_46","FIL30_46_M2","FIL30_46_M2-2","FIL30_46|FIL30_46_M2|FIL30_46_M2-2",75,11,64,74,19,55,69,52,17,FALSE,FALSE,64,46,18,0.71875,FALSE,"FIL30_46",TRUE,"FIL30_46_M2_2",41.3931755459418,"Self"
"720","FIL30_460","FIL30_460_M2","FIL30.460.M2","FIL30_460|FIL30_460_M2|FIL30.460.M2",94,37,57,70,17,53,51,38,13,FALSE,FALSE,53,38,15,0.716981132075472,FALSE,"FIL30_460",TRUE,"FIL30_460_M2",76.0398182252342,"Self"
"32","FIL30_461","FIL30_461_M2","FIL30.461.M2","FIL30_461|FIL30_461_M2|FIL30.461.M2",90,33,57,72,32,40,60,28,32,FALSE,FALSE,57,25,32,0.43859649122807,FALSE,"FIL30_461",TRUE,"FIL30_461_M2",42.0600222836784,"Self"
"2548","FIL30_462","FIL30_462_M2","FIL30.462.M2","FIL30_462|FIL30_462_M2|FIL30.462.M2",52,10,42,50,5,45,29,29,NA,FALSE,FALSE,41,37,4,0.902439024390244,FALSE,NA,FALSE,"FIL30_462_M2",52.613300986079,"Ambiguous"
"211","FIL30_463","FIL30_463_M2","FIL30.463.M2","FIL30_463|FIL30_463_M2|FIL30.463.M2",112,35,77,101,32,69,86,56,30,FALSE,FALSE,75,46,29,0.613333333333333,FALSE,"FIL30_463",TRUE,"FIL30_463_M2",47.8851979599571,"Self"
"920","FIL30_464","FIL30_464_M2","FIL30.464.M2","FIL30_464|FIL30_464_M2|FIL30.464.M2",146,49,97,117,40,77,90,55,35,FALSE,FALSE,88,49,39,0.556818181818182,FALSE,"FIL30_464",TRUE,"FIL30_464_M2",26.0147728083328,"Self"
"2212","FIL30_465","FIL30_465_M2","FIL30.465.M2","FIL30_465|FIL30_465_M2|FIL30.465.M2",115,38,77,112,17,95,107,92,15,FALSE,FALSE,76,60,16,0.789473684210526,FALSE,"FIL30_465",TRUE,"FIL30_465_M2",68.1499297068673,"Self"
"1449","FIL30_466","FIL30_466_M2","FIL30.466.M2","FIL30_466|FIL30_466_M2|FIL30.466.M2",113,28,85,100,38,62,86,52,34,FALSE,FALSE,78,44,34,0.564102564102564,FALSE,"FIL30_466",TRUE,"FIL30_466_M2",58.964062840524,"Self"
"739","FIL30_467","FIL30_467_M2","FIL30.467.M2","FIL30_467|FIL30_467_M2|FIL30.467.M2",164,46,118,147,1,146,119,119,NA,FALSE,FALSE,112,112,NA,1,TRUE,NA,FALSE,"FIL30_467_M2",41.3675678130573,"Cross"
"3888","FIL30_469","FIL30_469_M2","FIL30.469.M2","FIL30_469|FIL30_469_M2|FIL30.469.M2",131,41,90,120,35,85,95,66,29,FALSE,FALSE,89,56,33,0.629213483146067,FALSE,"FIL30_469",TRUE,"FIL30_469_M2",37.8064953815262,"Self"
"992","FIL30_47","FIL30_47_M2","FIL30_47_M2-2","FIL30_47|FIL30_47_M2|FIL30_47_M2-2",99,14,85,97,28,69,89,64,25,FALSE,FALSE,83,58,25,0.698795180722892,FALSE,"FIL30_47",TRUE,"FIL30_47_M2_2",40.0701211837418,"Self"
"1","FIL30_470","FIL30_470_M2","FIL30.470.M2","FIL30_470|FIL30_470_M2|FIL30.470.M2",118,47,71,100,45,55,81,39,42,FALSE,FALSE,66,38,28,0.575757575757576,FALSE,"FIL30_470",TRUE,"FIL30_470_M2",48.8813467653687,"Self"
"433","FIL30_471","FIL30_471_M2","FIL30.471.M2","FIL30_471|FIL30_471_M2|FIL30.471.M2",88,13,75,78,18,60,68,53,15,FALSE,FALSE,70,53,17,0.757142857142857,FALSE,"FIL30_471",TRUE,"FIL30_471_M2",54.6803992766026,"Self"
"1753","FIL30_472","FIL30_472_M2","FIL30.472.M2","FIL30_472|FIL30_472_M2|FIL30.472.M2",84,16,68,77,18,59,42,33,9,FALSE,FALSE,67,50,17,0.746268656716418,FALSE,"FIL30_472",TRUE,"FIL30_472_M2",48.0834880528323,"Self"
"1155","FIL30_473","FIL30_473_M2","FIL30.473.M2","FIL30_473|FIL30_473_M2|FIL30.473.M2",97,25,72,86,35,51,71,40,31,FALSE,FALSE,71,39,32,0.549295774647887,FALSE,"FIL30_473",TRUE,"FIL30_473_M2",63.3837923278028,"Self"
"1319","FIL30_474","FIL30_474_M2","FIL30.474.M2","FIL30_474|FIL30_474_M2|FIL30.474.M2",147,60,87,124,1,123,84,84,NA,FALSE,FALSE,86,86,NA,1,TRUE,NA,FALSE,"FIL30_474_M2",62.232698015082,"Cross"
"3901","FIL30_475","FIL30_475_M2","FIL30.475.M2","FIL30_475|FIL30_475_M2|FIL30.475.M2",62,8,54,52,7,45,13,12,1,FALSE,FALSE,47,41,6,0.872340425531915,FALSE,"FIL30_475",TRUE,"FIL30_475_M2",53.8337080755005,"Self"
"2888","FIL30_476","FIL30_476_M2","FIL30.476.M2","FIL30_476|FIL30_476_M2|FIL30.476.M2",93,26,67,76,25,51,35,21,14,FALSE,FALSE,61,38,23,0.622950819672131,FALSE,"FIL30_476",TRUE,"FIL30_476_M2",43.858473608519,"Self"
"180","FIL30_477","FIL30_477_M2","FIL30.477.M2","FIL30_477|FIL30_477_M2|FIL30.477.M2",116,45,71,99,22,77,78,60,18,FALSE,FALSE,68,52,16,0.764705882352941,FALSE,"FIL30_477",TRUE,"FIL30_477_M2",37.2308204918682,"Self"
"90","FIL30_478","FIL30_478_M2","FIL30.478.M2","FIL30_478|FIL30_478_M2|FIL30.478.M2",117,44,73,98,37,61,70,35,35,FALSE,FALSE,70,35,35,0.5,FALSE,"FIL30_478",TRUE,"FIL30_478_M2",50.8888137720462,"Self"
"2039","FIL30_479","FIL30_479_M2","FIL30.479.M2","FIL30_479|FIL30_479_M2|FIL30.479.M2",131,35,96,111,1,110,62,62,NA,FALSE,FALSE,89,89,NA,1,TRUE,NA,FALSE,"FIL30_479_M2",59.4462738403693,"Cross"
"862","FIL30_48","FIL30_48_M2","FIL30_48_M2-2","FIL30_48|FIL30_48_M2|FIL30_48_M2-2",91,9,82,89,36,53,86,51,35,FALSE,FALSE,81,47,34,0.580246913580247,FALSE,"FIL30_48",TRUE,"FIL30_48_M2_2",48.3104690840195,"Self"
"2282","FIL30_480","FIL30_480_M2","FIL30.480.M2","FIL30_480|FIL30_480_M2|FIL30.480.M2",111,18,93,95,26,69,42,36,6,FALSE,FALSE,81,56,25,0.691358024691358,FALSE,"FIL30_480",TRUE,"FIL30_480_M2",52.8477447954837,"Self"
"1101","FIL30_481","FIL30_481_M2","FIL30.481.M2","FIL30_481|FIL30_481_M2|FIL30.481.M2",95,28,67,85,NA,85,56,56,NA,FALSE,FALSE,67,67,NA,1,TRUE,NA,FALSE,"FIL30_481_M2",57.7590652730182,"Cross"
"687","FIL30_482","FIL30_482_M2","FIL30.482.M2","FIL30_482|FIL30_482_M2|FIL30.482.M2",127,46,81,106,28,78,86,59,27,FALSE,FALSE,74,50,24,0.675675675675676,FALSE,"FIL30_482",TRUE,"FIL30_482_M2",45.3516879209333,"Self"
"396","FIL30_484","FIL30_484_M2","FIL30.484.M2","FIL30_484|FIL30_484_M2|FIL30.484.M2",116,28,88,100,25,75,84,62,22,FALSE,FALSE,82,60,22,0.731707317073171,FALSE,"FIL30_484",TRUE,"FIL30_484_M2",47.3484183327012,"Self"
"283","FIL30_486","FIL30_486_M2","FIL30.486.M2","FIL30_486|FIL30_486_M2|FIL30.486.M2",89,31,58,82,42,40,72,37,35,FALSE,FALSE,57,26,31,0.456140350877193,FALSE,"FIL30_486",TRUE,"FIL30_486_M2",65.7988137530815,"Self"
"26","FIL30_487","FIL30_487_M2","FIL30.487.M2","FIL30_487|FIL30_487_M2|FIL30.487.M2",96,33,63,86,33,53,73,43,30,FALSE,FALSE,61,30,31,0.491803278688525,FALSE,"FIL30_487",TRUE,"FIL30_487_M2",45.3281592169053,"Self"
"1017","FIL30_488","FIL30_488_M2","FIL30.488.M2","FIL30_488|FIL30_488_M2|FIL30.488.M2",60,10,50,57,24,33,14,12,2,FALSE,FALSE,50,27,23,0.54,FALSE,"FIL30_488",TRUE,"FIL30_488_M2",53.7867327589745,"Self"
"753","FIL30_489","FIL30_489_M2","FIL30.489.M2","FIL30_489|FIL30_489_M2|FIL30.489.M2",106,26,80,99,2,97,59,58,1,FALSE,FALSE,79,78,1,0.987341772151899,FALSE,NA,FALSE,"FIL30_489_M2",40.3392976068643,"Ambiguous"
"1463","FIL30_49","FIL30_49_M2","FIL30.49.M2","FIL30_49|FIL30_49_M2|FIL30.49.M2",99,16,83,90,13,77,77,65,12,FALSE,FALSE,74,61,13,0.824324324324324,FALSE,"FIL30_49",TRUE,"FIL30_49_M2",43.5414985884306,"Self"
"228","FIL30_491","FIL30_491_M2","FIL30.491.M2","FIL30_491|FIL30_491_M2|FIL30.491.M2",94,21,73,85,13,72,70,59,11,FALSE,FALSE,68,56,12,0.823529411764706,FALSE,"FIL30_491",TRUE,"FIL30_491_M2",36.0486458917513,"Self"
