"","mother","sample","origin","code","n_tot","n_delly","n_gatk","nr_n","nr_het","nr_homo","nr_uni","nr_uniHet","nr_uniHomo","motherDL","sampleDL","lfm_n","lfm_het","lfm_homo","lfm_hetProp","cp_logic","father","likelySelf","originMod","coverage","cp_status"
"134","FIL30_330","FIL30_330_M2","FIL30.330.M2","FIL30_330|FIL30_330_M2|FIL30.330.M2",83,5,78,79,26,53,72,48,24,FALSE,FALSE,75,49,26,0.653333333333333,FALSE,"FIL30_330",TRUE,"FIL30_330_M2",58.0723544960511,"Self"
"45","FIL30_331","FIL30_331_M2","FIL30.331.M2","FIL30_331|FIL30_331_M2|FIL30.331.M2",105,26,79,90,13,77,76,66,10,FALSE,FALSE,73,60,13,0.821917808219178,FALSE,"FIL30_331",TRUE,"FIL30_331_M2",60.9720491978219,"Self"
"199","FIL30_332","FIL30_332_M2","FIL30.332.M2","FIL30_332|FIL30_332_M2|FIL30.332.M2",121,39,82,100,34,66,78,47,31,FALSE,FALSE,70,41,29,0.585714285714286,FALSE,"FIL30_332",TRUE,"FIL30_332_M2",47.8235311869998,"Self"
"6","FIL30_333","FIL30_333_M2","FIL30.333.M2","FIL30_333|FIL30_333_M2|FIL30.333.M2",82,24,58,75,16,59,65,49,16,FALSE,FALSE,56,42,14,0.75,FALSE,"FIL30_333",TRUE,"FIL30_333_M2",71.7730163070853,"Self"
"331","FIL30_334","FIL30_334_M2","FIL30.334.M2","FIL30_334|FIL30_334_M2|FIL30.334.M2",126,43,83,99,35,64,72,42,30,FALSE,FALSE,69,37,32,0.536231884057971,FALSE,"FIL30_334",TRUE,"FIL30_334_M2",43.1930232131348,"Self"
"107","FIL30_335","FIL30_335_M2","FIL30.335.M2","FIL30_335|FIL30_335_M2|FIL30.335.M2",142,29,113,118,35,83,85,63,22,FALSE,FALSE,98,66,32,0.673469387755102,FALSE,"FIL30_335",TRUE,"FIL30_335_M2",68.0748653273192,"Self"
"705","FIL30_336","FIL30_336_M2","FIL30.336.M2","FIL30_336|FIL30_336_M2|FIL30.336.M2",180,79,101,147,31,116,114,87,27,FALSE,FALSE,95,69,26,0.726315789473684,FALSE,"FIL30_336",TRUE,"FIL30_336_M2",43.5059687222516,"Self"
"388","FIL30_337","FIL30_337_M2","FIL30.337.M2","FIL30_337|FIL30_337_M2|FIL30.337.M2",65,17,48,56,14,42,45,32,13,FALSE,FALSE,46,33,13,0.717391304347826,FALSE,"FIL30_337",TRUE,"FIL30_337_M2",60.0076003333448,"Self"
"202","FIL30_338","FIL30_338_M2","FIL30.338.M2","FIL30_338|FIL30_338_M2|FIL30.338.M2",77,22,55,75,24,51,67,44,23,FALSE,FALSE,55,36,19,0.654545454545455,FALSE,"FIL30_338",TRUE,"FIL30_338_M2",52.6053462003763,"Self"
"326","FIL30_339","FIL30_339_M2","FIL30.339.M2","FIL30_339|FIL30_339_M2|FIL30.339.M2",67,19,48,56,NA,56,45,45,NA,FALSE,FALSE,40,40,NA,1,TRUE,NA,FALSE,"FIL30_339_M2",47.9881387719768,"Cross"
"1396","FIL30_340","FIL30_340_M2","FIL30.340.M2","FIL30_340|FIL30_340_M2|FIL30.340.M2",114,34,80,101,4,97,47,47,NA,FALSE,FALSE,74,70,4,0.945945945945946,FALSE,NA,FALSE,"FIL30_340_M2",34.6266959729453,"Ambiguous"
