"","i","j","iSam","jSam","het_het","het_homo","homo_het","homo_homo","len_i","len_j","tot_i","tot_j","logicSum","totSum","totMean","totProp","crToIb","ibToCr","ibToIb","fs","iSam_mother","iSam_father","jSam_mother","jSam_father","minTest","""...""","mother","sample","origin","code","n_tot","n_delly","n_gatk","nr_n","nr_het","nr_homo","nr_uni","nr_uniHet","nr_uniHomo","motherDL","sampleDL","lfm_n","lfm_het","lfm_homo","lfm_hetProp","cp_logic","father","likelySelf","originMod","coverage","cp_status","""...""","mother","sample","origin","code","n_tot","n_delly","n_gatk","nr_n","nr_het","nr_homo","nr_uni","nr_uniHet","nr_uniHomo","motherDL","sampleDL","lfm_n","lfm_het","lfm_homo","lfm_hetProp","cp_logic","father","likelySelf","originMod","coverage","cp_status"
"FIL30_479_M2414",418,415,"FIL30_479_M2","FIL30_476_M2",20,10,0,0,41,36,109,73,30,182,91,0.32967032967033,1.15753424657534,25.5091743119266,28.0302197802198,29.2983536508734,"FIL30_479",NA,"FIL30_476","FIL30_476",1.15753424657534,"...","FIL30_479","FIL30_479_M2","FIL30.479.M2","FIL30_479|FIL30_479_M2|FIL30.479.M2",131,35,96,111,1,110,62,62,NA,FALSE,FALSE,89,89,NA,1,TRUE,NA,FALSE,"FIL30_479_M2",59.4462738403693,"Cross","...","FIL30_476","FIL30_476_M2","FIL30.476.M2","FIL30_476|FIL30_476_M2|FIL30.476.M2",93,26,67,76,25,51,35,21,14,FALSE,FALSE,61,38,23,0.622950819672131,FALSE,"FIL30_476",TRUE,"FIL30_476_M2",43.858473608519,"Self"
"FIL30_802_M2699",699,700,"FIL30_802_M2","FIL30_803_M2",11,19,0,0,32,38,110,77,30,187,93.5,0.320855614973262,11.3441558441558,36.3,37.173128342246,54.8428571428571,"FIL30_802",NA,"FIL30_803","FIL30_803",11.3441558441558,"...","FIL30_802","FIL30_802_M2","FIL30.802.M2","FIL30_802|FIL30_802_M2|FIL30.802.M2",135,30,105,111,NA,111,69,69,NA,FALSE,FALSE,96,96,NA,1,TRUE,NA,FALSE,"FIL30_802_M2",NA,"Cross","...","FIL30_803","FIL30_803_M2","FIL30.803.M2","FIL30_803|FIL30_803_M2|FIL30.803.M2",96,26,70,79,32,47,33,23,10,FALSE,FALSE,62,35,27,0.564516129032258,FALSE,"FIL30_803",TRUE,"FIL30_803_M2",43.7778411661889,"Self"
"FIL30_566_M2488",503,489,"FIL30_566_M2","FIL30_559_M2",16,13,0,0,34,34,110,73,29,183,91.5,0.316939890710383,2.91095890410959,29.9818181818182,30.1004098360656,39.1682440846824,"FIL30_566",NA,"FIL30_559","FIL30_559",2.91095890410959,"...","FIL30_566","FIL30_566_M2","FIL30.566.M2","FIL30_566|FIL30_566_M2|FIL30.566.M2",121,23,98,110,1,109,72,71,1,FALSE,FALSE,90,89,1,0.988888888888889,FALSE,NA,FALSE,"FIL30_566_M2",51.4577899856181,"Ambiguous","...","FIL30_559","FIL30_559_M2","FIL30.559.M2","FIL30_559|FIL30_559_M2|FIL30.559.M2",84,21,63,73,29,44,35,19,16,FALSE,FALSE,57,29,28,0.508771929824561,FALSE,"FIL30_559",TRUE,"FIL30_559_M2",54.7004675025238,"Self"
"FIL30_148_M2102",99,103,"FIL30_148_M2","FIL30_151_M2",27,3,0,0,35,37,107,85,30,192,96,0.3125,8.86470588235294,19.9392523364486,35.34375,18.7791094007697,"FIL30_148",NA,"FIL30_151","FIL30_151",8.86470588235294,"...","FIL30_148","FIL30_148_M2","FIL30_148_M2-3","FIL30_148|FIL30_148_M2|FIL30_148_M2-3",118,23,95,108,NA,108,67,67,NA,FALSE,FALSE,89,89,NA,1,TRUE,NA,FALSE,"FIL30_148_M2_3",44.9341110340963,"Cross","...","FIL30_151","FIL30_151_M2","FIL30_151_M2-3","FIL30_151|FIL30_151_M2|FIL30_151_M2-3",98,11,87,86,18,68,44,34,10,FALSE,FALSE,76,58,18,0.763157894736842,FALSE,"FIL30_151",TRUE,"FIL30_151_M2_3",43.2199211909817,"Self"
"FIL20_128_D_M28",10,9,"FIL20_128_D_M2","FIL20_128_C_M2",14,4,1,2,52,39,71,65,21,136,68,0.308823529411765,7.02307692307692,13.8661971830986,19.8529411764706,23.5518959913326,"FIL20_128",NA,"FIL20_128","FIL20_128",7.02307692307692,"...","FIL20_128","FIL20_128_D_M2","Fil20_128_D_M2_1","FIL20_128|FIL20_128_D_M2|Fil20_128_D_M2_1",80,17,63,72,4,68,18,18,NA,TRUE,FALSE,57,53,4,0.929824561403509,FALSE,NA,FALSE,"FIL20_128_D_M2_1",77.0016670828544,"Ambiguous","...","FIL20_128","FIL20_128_C_M2","Fil20_128_C_M2_1","FIL20_128|FIL20_128_C_M2|Fil20_128_C_M2_1",73,10,63,67,8,59,25,25,NA,TRUE,FALSE,59,52,7,0.88135593220339,FALSE,"FIL20_128",TRUE,"FIL20_128_C_M2_1",48.3830884518619,"Self"
"FIL30_168_M2292",118,293,"FIL30_168_M2","FIL30_352_M2",15,12,1,0,55,41,96,86,28,182,91,0.307692307692308,6.8953488372093,23.09375,29.228021978022,40.9200581395349,"FIL30_168",NA,"FIL30_352","FIL30_352",6.8953488372093,"...","FIL30_168","FIL30_168_M2","FIL30_168_M2-3","FIL30_168|FIL30_168_M2|FIL30_168_M2-3",113,11,102,97,1,96,35,35,NA,FALSE,FALSE,91,90,1,0.989010989010989,FALSE,NA,FALSE,"FIL30_168_M2_3",43.7303643910961,"Ambiguous","...","FIL30_352","FIL30_352_M2","FIL30.352.M2","FIL30_352|FIL30_352_M2|FIL30.352.M2",113,47,66,87,24,63,40,30,10,FALSE,FALSE,61,40,21,0.655737704918033,FALSE,"FIL30_352",TRUE,"FIL30_352_M2",40.1882231120875,"Self"
"FIL30_283_M226",223,27,"FIL30_283_M2","FIL20_20_I_M2",9,15,0,0,30,31,111,46,24,157,78.5,0.305732484076433,9.6304347826087,39.6891891891892,31.1679936305732,47.4811985898942,"FIL30_283",NA,"FIL20_20","FIL20_20",9.6304347826087,"...","FIL30_283","FIL30_283_M2","FIL30.283.M2","FIL30_283|FIL30_283_M2|FIL30.283.M2",136,45,91,111,NA,111,70,70,NA,FALSE,FALSE,82,82,NA,1,TRUE,NA,FALSE,"FIL30_283_M2",69.674429867341,"Cross","...","FIL20_20","FIL20_20_I_M2","Fil20_20_I_M2_1","FIL20_20|FIL20_20_I_M2|Fil20_20_I_M2_1",56,4,52,48,16,32,15,15,NA,TRUE,FALSE,46,30,16,0.652173913043478,FALSE,"FIL20_20",TRUE,"FIL20_20_I_M2_1",58.7680386297834,"Self"
"FIL30_56_F_M2489",493,490,"FIL30_56_F_M2","FIL30_56_B_M2",22,3,0,0,57,76,74,90,25,164,82,0.304878048780488,11.7333333333333,12.6216216216216,29.8658536585366,17.8366366366366,"FIL30_56",NA,"FIL30_56","FIL30_56",11.7333333333333,"...","FIL30_56","FIL30_56_F_M2","Fil30_56_F_M2_1","FIL30_56|FIL30_56_F_M2|Fil30_56_F_M2_1",85,15,70,75,NA,75,17,17,NA,TRUE,FALSE,67,67,NA,1,TRUE,NA,FALSE,"FIL30_56_F_M2_1",64.2766273300636,"Cross","...","FIL30_56","FIL30_56_B_M2","Fil30_56_B_M2_1","FIL30_56|FIL30_56_B_M2|Fil30_56_B_M2_1",97,13,84,91,17,74,13,13,NA,TRUE,FALSE,78,62,16,0.794871794871795,FALSE,"FIL30_56",TRUE,"FIL30_56_B_M2_1",53.451204062933,"Self"
"FIL30_505_M2740",441,741,"FIL30_505_M2","FIL30_853_M2",34,0,0,0,79,41,110,115,34,225,112.5,0.302222222222222,19.6565217391304,18.5272727272727,47.2016666666667,17.6225296442688,"FIL30_505",NA,"FIL30_853",NA,17.6225296442688,"...","FIL30_505","FIL30_505_M2","FIL30.505.M2","FIL30_505|FIL30_505_M2|FIL30.505.M2",129,18,111,113,1,112,30,30,NA,FALSE,FALSE,99,99,NA,1,TRUE,NA,FALSE,"FIL30_505_M2",52.2294978505152,"Cross","...","FIL30_853","FIL30_853_M2","FIL30.853.M2","FIL30_853|FIL30_853_M2|FIL30.853.M2",150,55,95,117,NA,117,60,60,NA,FALSE,FALSE,84,84,NA,1,TRUE,NA,FALSE,"FIL30_853_M2",47.0077213858335,"Cross"
"FIL30_853_M2440",741,441,"FIL30_853_M2","FIL30_505_M2",34,0,0,0,41,79,115,110,34,225,112.5,0.302222222222222,18.5272727272727,19.6565217391304,47.2016666666667,17.6225296442688,"FIL30_853",NA,"FIL30_505",NA,17.6225296442688,"...","FIL30_853","FIL30_853_M2","FIL30.853.M2","FIL30_853|FIL30_853_M2|FIL30.853.M2",150,55,95,117,NA,117,60,60,NA,FALSE,FALSE,84,84,NA,1,TRUE,NA,FALSE,"FIL30_853_M2",47.0077213858335,"Cross","...","FIL30_505","FIL30_505_M2","FIL30.505.M2","FIL30_505|FIL30_505_M2|FIL30.505.M2",129,18,111,113,1,112,30,30,NA,FALSE,FALSE,99,99,NA,1,TRUE,NA,FALSE,"FIL30_505_M2",52.2294978505152,"Cross"
"FIL20_161_E_M2216",15,217,"FIL20_161_E_M2","FIL30_277_M2",19,0,0,0,24,20,49,77,19,126,63,0.301587301587302,14.5649350649351,8.60204081632653,26.4404761904762,11.1113172541744,"FIL20_161",NA,"FIL30_277",NA,8.60204081632653,"...","FIL20_161","FIL20_161_E_M2","Fil20_161_E_M2_1","FIL20_161|FIL20_161_E_M2|Fil20_161_E_M2_1",60,13,47,51,NA,51,24,24,NA,TRUE,FALSE,42,42,NA,1,TRUE,NA,FALSE,"FIL20_161_E_M2_1",70.4808573519194,"Cross","...","FIL30_277","FIL30_277_M2","FIL30_277_M2-4","FIL30_277|FIL30_277_M2|FIL30_277_M2-4",85,15,70,77,NA,77,55,55,NA,FALSE,FALSE,66,66,NA,1,TRUE,NA,FALSE,"FIL30_277_M2_4",42.4724212678392,"Cross"
"FIL30_277_M214",217,15,"FIL30_277_M2","FIL20_161_E_M2",19,0,0,0,20,24,77,49,19,126,63,0.301587301587302,8.60204081632653,14.5649350649351,26.4404761904762,11.1113172541744,"FIL30_277",NA,"FIL20_161",NA,8.60204081632653,"...","FIL30_277","FIL30_277_M2","FIL30_277_M2-4","FIL30_277|FIL30_277_M2|FIL30_277_M2-4",85,15,70,77,NA,77,55,55,NA,FALSE,FALSE,66,66,NA,1,TRUE,NA,FALSE,"FIL30_277_M2_4",42.4724212678392,"Cross","...","FIL20_161","FIL20_161_E_M2","Fil20_161_E_M2_1","FIL20_161|FIL20_161_E_M2|Fil20_161_E_M2_1",60,13,47,51,NA,51,24,24,NA,TRUE,FALSE,42,42,NA,1,TRUE,NA,FALSE,"FIL20_161_E_M2_1",70.4808573519194,"Cross"
"FIL20_66_D_M244",43,45,"FIL20_66_D_M2","FIL20_66_F_M2",12,2,0,0,35,22,55,38,14,93,46.5,0.301075268817204,3,11.3545454545455,16.6814516129032,11.3153110047847,"FIL20_66",NA,"FIL20_66","FIL20_66",3,"...","FIL20_66","FIL20_66_D_M2","Fil20_66_D_M2_1","FIL20_66|FIL20_66_D_M2|Fil20_66_D_M2_1",64,9,55,57,NA,57,20,20,NA,TRUE,FALSE,51,51,NA,1,TRUE,NA,FALSE,"FIL20_66_D_M2_1",92.8383482262631,"Cross","...","FIL20_66","FIL20_66_F_M2","Fil20_66_F_M2_1","FIL20_66|FIL20_66_F_M2|Fil20_66_F_M2_1",43,6,37,39,5,34,15,15,NA,TRUE,FALSE,34,29,5,0.852941176470588,FALSE,"FIL20_66",TRUE,"FIL20_66_F_M2_1",61.5786972680514,"Self"
"FIL30_166_M270",116,71,"FIL30_166_M2","FIL30_114_M2",17,9,0,0,30,26,97,80,26,177,88.5,0.293785310734463,4.9125,23.4381443298969,29.6631355932203,33.6837628865979,"FIL30_166",NA,"FIL30_114","FIL30_114",4.9125,"...","FIL30_166","FIL30_166_M2","FIL30_166_M2-3","FIL30_166|FIL30_166_M2|FIL30_166_M2-3",112,26,86,98,NA,98,62,62,NA,FALSE,FALSE,80,80,NA,1,TRUE,NA,FALSE,"FIL30_166_M2_3",45.0893285240058,"Cross","...","FIL30_114","FIL30_114_M2","FIL30_114_M2-3","FIL30_114|FIL30_114_M2|FIL30_114_M2-3",92,28,64,82,10,72,51,50,1,FALSE,FALSE,63,53,10,0.841269841269841,FALSE,"FIL30_114",TRUE,"FIL30_114_M2_3",43.8731994832918,"Self"
"FIL20_128_A_M24",7,5,"FIL20_128_A_M2","FIL20_105_G_M2",8,13,0,0,65,53,73,70,21,143,71.5,0.293706293706294,10.2285714285714,23.1301369863014,28.4921328671329,43.0819960861057,"FIL20_128",NA,"FIL20_105","FIL20_105",10.2285714285714,"...","FIL20_128","FIL20_128_A_M2","Fil20_128_A_M2_1","FIL20_128|FIL20_128_A_M2|Fil20_128_A_M2_1",79,27,52,75,NA,75,7,7,NA,TRUE,FALSE,50,50,NA,1,TRUE,NA,FALSE,"FIL20_128_A_M2_1",54.9538736779045,"Cross","...","FIL20_105","FIL20_105_G_M2","Fil20_105_G_M2_1","FIL20_105|FIL20_105_G_M2|Fil20_105_G_M2_1",75,11,64,71,26,45,16,16,NA,TRUE,FALSE,60,37,23,0.616666666666667,FALSE,"FIL20_105",TRUE,"FIL20_105_G_M2_1",62.051560044058,"Self"
"FIL30_503_M2467",439,468,"FIL30_503_M2","FIL30_537_M2",10,12,0,0,28,28,89,61,22,150,75,0.293333333333333,5.58196721311475,27.8707865168539,27.77,40.5258795358261,"FIL30_503",NA,"FIL30_537","FIL30_537",5.58196721311475,"...","FIL30_503","FIL30_503_M2","FIL30.503.M2","FIL30_503|FIL30_503_M2|FIL30.503.M2",107,32,75,91,1,90,51,51,NA,FALSE,FALSE,70,70,NA,1,TRUE,NA,FALSE,"FIL30_503_M2",45.9576487198099,"Cross","...","FIL30_537","FIL30_537_M2","FIL30.537.M2","FIL30_537|FIL30_537_M2|FIL30.537.M2",77,34,43,61,18,43,23,20,3,FALSE,FALSE,42,28,14,0.666666666666667,FALSE,"FIL30_537",TRUE,"FIL30_537_M2",45.4505167030761,"Self"
"FIL30_779_M2639",683,640,"FIL30_779_M2","FIL30_729_M2",14,16,0,0,33,35,109,97,30,206,103,0.29126213592233,10.3969072164948,31.894495412844,37.871359223301,54.6375673886314,"FIL30_779",NA,"FIL30_729","FIL30_729",10.3969072164948,"...","FIL30_779","FIL30_779_M2","FIL30.779.M2","FIL30_779|FIL30_779_M2|FIL30.779.M2",120,22,98,109,1,108,71,71,NA,FALSE,FALSE,93,93,NA,1,TRUE,NA,FALSE,"FIL30_779_M2",54.8306083235944,"Cross","...","FIL30_729","FIL30_729_M2","FIL30.729.M2","FIL30_729|FIL30_729_M2|FIL30.729.M2",107,35,72,97,40,57,57,34,23,FALSE,FALSE,68,40,28,0.588235294117647,FALSE,"FIL30_729",TRUE,"FIL30_729_M2",44.8153011588223,"Self"
"FIL20_128_D_M27",10,8,"FIL20_128_D_M2","FIL20_128_B_M2",14,3,1,3,52,51,71,74,21,145,72.5,0.289655172413793,11.6756756756757,13.8661971830986,22.8025862068966,27.3184240578607,"FIL20_128",NA,"FIL20_128","FIL20_128",11.6756756756757,"...","FIL20_128","FIL20_128_D_M2","Fil20_128_D_M2_1","FIL20_128|FIL20_128_D_M2|Fil20_128_D_M2_1",80,17,63,72,4,68,18,18,NA,TRUE,FALSE,57,53,4,0.929824561403509,FALSE,NA,FALSE,"FIL20_128_D_M2_1",77.0016670828544,"Ambiguous","...","FIL20_128","FIL20_128_B_M2","Fil20_128_B_M2_1","FIL20_128|FIL20_128_B_M2|Fil20_128_B_M2_1",78,18,60,75,19,56,23,18,5,TRUE,FALSE,58,43,15,0.741379310344828,FALSE,"FIL20_128",TRUE,"FIL20_128_B_M2_1",57.8750196332141,"Self"
"FIL20_20_A_M225",25,26,"FIL20_20_A_M2","FIL20_20_H_M2",15,2,0,0,41,29,66,52,17,118,59,0.288135593220339,5.44230769230769,13.2272727272727,22.0974576271186,14.472027972028,"FIL20_20",NA,"FIL20_20","FIL20_20",5.44230769230769,"...","FIL20_20","FIL20_20_A_M2","Fil20_20_A_M2_1","FIL20_20|FIL20_20_A_M2|Fil20_20_A_M2_1",76,4,72,67,NA,67,25,25,NA,TRUE,FALSE,64,64,NA,1,TRUE,NA,FALSE,"FIL20_20_A_M2_1",71.0978573974045,"Cross","...","FIL20_20","FIL20_20_H_M2","Fil20_20_H_M2_1","FIL20_20|FIL20_20_H_M2|Fil20_20_H_M2_1",65,8,57,54,12,42,22,21,1,TRUE,FALSE,49,38,11,0.775510204081633,FALSE,"FIL20_20",TRUE,"FIL20_20_H_M2_1",59.0753485157025,"Self"
"FIL20_20_A_M226",25,27,"FIL20_20_A_M2","FIL20_20_I_M2",7,9,0,0,41,31,66,46,16,112,56,0.285714285714286,4.76086956521739,21.2272727272727,21.3035714285714,31.6152832674572,"FIL20_20",NA,"FIL20_20","FIL20_20",4.76086956521739,"...","FIL20_20","FIL20_20_A_M2","Fil20_20_A_M2_1","FIL20_20|FIL20_20_A_M2|Fil20_20_A_M2_1",76,4,72,67,NA,67,25,25,NA,TRUE,FALSE,64,64,NA,1,TRUE,NA,FALSE,"FIL20_20_A_M2_1",71.0978573974045,"Cross","...","FIL20_20","FIL20_20_I_M2","Fil20_20_I_M2_1","FIL20_20|FIL20_20_I_M2|Fil20_20_I_M2_1",56,4,52,48,16,32,15,15,NA,TRUE,FALSE,46,30,16,0.652173913043478,FALSE,"FIL20_20",TRUE,"FIL20_20_I_M2_1",58.7680386297834,"Self"
"FIL30_572_M2517",509,518,"FIL30_572_M2","FIL30_581_M2",24,9,0,0,35,41,137,94,33,231,115.5,0.285714285714286,4.5531914893617,33.1131386861314,39.7938311688312,40.1640782730238,"FIL30_572",NA,"FIL30_581","FIL30_581",4.5531914893617,"...","FIL30_572","FIL30_572_M2","FIL30.572.M2","FIL30_572|FIL30_572_M2|FIL30.572.M2",177,34,143,137,NA,137,91,91,NA,FALSE,FALSE,115,115,NA,1,TRUE,NA,FALSE,"FIL30_572_M2",67.7776239972865,"Cross","...","FIL30_581","FIL30_581_M2","FIL30.581.M2","FIL30_581|FIL30_581_M2|FIL30.581.M2",119,51,68,94,15,79,46,40,6,FALSE,FALSE,61,47,14,0.770491803278688,FALSE,"FIL30_581",TRUE,"FIL30_581_M2",42.5623292840293,"Self"
"FIL30_85_G_M225",737,26,"FIL30_85_G_M2","FIL20_20_H_M2",4,10,0,0,27,29,46,52,14,98,49,0.285714285714286,10.4615384615385,16.0434782608696,21.9744897959184,34.3110367892977,"FIL30_85",NA,"FIL20_20","FIL20_20",10.4615384615385,"...","FIL30_85","FIL30_85_G_M2","Fil30_85_G_M2_1","FIL30_85|FIL30_85_G_M2|Fil30_85_G_M2_1",48,3,45,47,NA,47,18,18,NA,TRUE,FALSE,44,44,NA,1,TRUE,NA,FALSE,"FIL30_85_G_M2_1",52.3421349430027,"Cross","...","FIL20_20","FIL20_20_H_M2","Fil20_20_H_M2_1","FIL20_20|FIL20_20_H_M2|Fil20_20_H_M2_1",65,8,57,54,12,42,22,21,1,TRUE,FALSE,49,38,11,0.775510204081633,FALSE,"FIL20_20",TRUE,"FIL20_20_H_M2_1",59.0753485157025,"Self"
"FIL30_109_I_M2640",64,641,"FIL30_109_I_M2","FIL30_73_M2",27,0,0,0,82,28,110,80,27,190,95,0.284210526315789,13.3375,20.8818181818182,40.2710526315789,18.4795454545455,"FIL30_109",NA,"FIL30_73",NA,13.3375,"...","FIL30_109","FIL30_109_I_M2","Fil30_109_I_M2_1","FIL30_109|FIL30_109_I_M2|Fil30_109_I_M2_1",118,19,99,111,NA,111,28,28,NA,TRUE,FALSE,95,95,NA,1,TRUE,NA,FALSE,"FIL30_109_I_M2_1",43.8845288833108,"Cross","...","FIL30_73","FIL30_73_M2","FIL30_73_M2-2","FIL30_73|FIL30_73_M2|FIL30_73_M2-2",86,21,65,81,NA,81,47,47,NA,FALSE,FALSE,65,65,NA,1,TRUE,NA,FALSE,"FIL30_73_M2_2",42.388744343456,"Cross"
"FIL30_73_M263",641,64,"FIL30_73_M2","FIL30_109_I_M2",27,0,0,0,28,82,80,110,27,190,95,0.284210526315789,20.8818181818182,13.3375,40.2710526315789,18.4795454545455,"FIL30_73",NA,"FIL30_109",NA,13.3375,"...","FIL30_73","FIL30_73_M2","FIL30_73_M2-2","FIL30_73|FIL30_73_M2|FIL30_73_M2-2",86,21,65,81,NA,81,47,47,NA,FALSE,FALSE,65,65,NA,1,TRUE,NA,FALSE,"FIL30_73_M2_2",42.388744343456,"Cross","...","FIL30_109","FIL30_109_I_M2","Fil30_109_I_M2_1","FIL30_109|FIL30_109_I_M2|Fil30_109_I_M2_1",118,19,99,111,NA,111,28,28,NA,TRUE,FALSE,95,95,NA,1,TRUE,NA,FALSE,"FIL30_109_I_M2_1",43.8845288833108,"Cross"
"FIL30_79_M251",687,52,"FIL30_79_M2","FIL30_1_M2",14,11,0,0,29,25,104,73,25,177,88.5,0.282485875706215,4.5,29.6538461538462,31.2224576271186,41.6390937829294,"FIL30_79",NA,"FIL30_1","FIL30_1",4.5,"...","FIL30_79","FIL30_79_M2","FIL30_79_M2-3","FIL30_79|FIL30_79_M2|FIL30_79_M2-3",126,31,95,106,NA,106,69,69,NA,FALSE,FALSE,86,86,NA,1,TRUE,NA,FALSE,"FIL30_79_M2_3",36.0488832178795,"Cross","...","FIL30_1","FIL30_1_M2","FIL30_1_M2-2","FIL30_1|FIL30_1_M2|FIL30_1_M2-2",100,12,88,74,22,52,41,30,11,FALSE,FALSE,65,48,17,0.738461538461539,FALSE,"FIL30_1",TRUE,"FIL30_1_M2_2",35.4020163887442,"Self"
"FIL30_260_M2130",201,131,"FIL30_260_M2","FIL30_183_M2",21,5,0,0,41,52,111,75,26,186,93,0.279569892473118,5.14,25.4189189189189,33.5887096774194,28.7059459459459,"FIL30_260",NA,"FIL30_183","FIL30_183",5.14,"...","FIL30_260","FIL30_260_M2","FIL30_260_M2-4","FIL30_260|FIL30_260_M2|FIL30_260_M2-4",138,36,102,112,NA,112,58,58,NA,FALSE,FALSE,88,88,NA,1,TRUE,NA,FALSE,"FIL30_260_M2_4",53.2422288394482,"Cross","...","FIL30_183","FIL30_183_M2","FIL30_183_M2-3","FIL30_183|FIL30_183_M2|FIL30_183_M2-3",83,21,62,76,16,60,23,22,1,FALSE,FALSE,59,43,16,0.728813559322034,FALSE,"FIL30_183",TRUE,"FIL30_183_M2_3",38.2636746795406,"Self"
"FIL30_305_M231",244,32,"FIL30_305_M2","FIL20_25_G_M2",7,11,0,0,19,35,87,42,18,129,64.5,0.27906976744186,5.78571428571429,31.1896551724138,25.9098837209302,39.9597701149425,"FIL30_305",NA,"FIL20_25","FIL20_25",5.78571428571429,"...","FIL30_305","FIL30_305_M2","FIL30_305_M2-4","FIL30_305|FIL30_305_M2|FIL30_305_M2-4",94,9,85,88,NA,88,67,67,NA,FALSE,FALSE,79,79,NA,1,TRUE,NA,FALSE,"FIL30_305_M2_4",35.0642491077725,"Cross","...","FIL20_25","FIL20_25_G_M2","Fil20_25_G_M2_1","FIL20_25|FIL20_25_G_M2|Fil20_25_G_M2_1",51,5,46,43,11,32,7,7,NA,TRUE,FALSE,38,29,9,0.763157894736842,FALSE,"FIL20_25",TRUE,"FIL20_25_G_M2_1",42.1896035005749,"Self"
"FIL30_212_M2153",158,154,"FIL30_212_M2","FIL30_207_M2",16,5,0,0,25,39,89,62,21,151,75.5,0.278145695364238,3.80645161290323,21.1292134831461,26.783940397351,25.5108735048931,"FIL30_212",NA,"FIL30_207","FIL30_207",3.80645161290323,"...","FIL30_212","FIL30_212_M2","FIL30_212_M2-4","FIL30_212|FIL30_212_M2|FIL30_212_M2-4",100,15,85,90,NA,90,61,61,NA,FALSE,FALSE,76,76,NA,1,TRUE,NA,FALSE,"FIL30_212_M2_4",69.6638838471825,"Cross","...","FIL30_207","FIL30_207_M2","FIL30_207_M2-3","FIL30_207|FIL30_207_M2|FIL30_207_M2-3",67,9,58,63,13,50,23,19,4,FALSE,FALSE,54,41,13,0.759259259259259,FALSE,"FIL30_207",TRUE,"FIL30_207_M2_3",41.2535948481051,"Self"
"FIL30_639_M2486",565,487,"FIL30_639_M2","FIL30_557_M2",13,16,0,0,70,37,130,81,29,211,105.5,0.274881516587678,7.72222222222222,42.9,40.4899289099526,60.2728395061728,"FIL30_639",NA,"FIL30_557","FIL30_557",7.72222222222222,"...","FIL30_639","FIL30_639_M2","FIL30.639.M2","FIL30_639|FIL30_639_M2|FIL30.639.M2",161,69,92,131,NA,131,47,47,NA,FALSE,FALSE,88,88,NA,1,TRUE,NA,FALSE,"FIL30_639_M2",48.2926955851082,"Cross","...","FIL30_557","FIL30_557_M2","FIL30.557.M2","FIL30_557|FIL30_557_M2|FIL30.557.M2",85,24,61,81,27,54,41,30,11,FALSE,FALSE,59,36,23,0.610169491525424,FALSE,"FIL30_557",TRUE,"FIL30_557_M2",44.7986326047266,"Self"
"FIL30_225_M2376",169,377,"FIL30_225_M2","FIL30_432_M2",22,13,0,0,44,36,165,93,35,258,129,0.271317829457364,3.01612903225806,47.3,45.8662790697674,57.2752688172043,"FIL30_225",NA,"FIL30_432","FIL30_432",3.01612903225806,"...","FIL30_225","FIL30_225_M2","FIL30.225.M2","FIL30_225|FIL30_225_M2|FIL30.225.M2",180,49,131,166,NA,166,115,115,NA,FALSE,FALSE,124,124,NA,1,TRUE,NA,FALSE,"FIL30_225_M2",45.1215101570393,"Cross","...","FIL30_432","FIL30_432_M2","FIL30.432.M2","FIL30_432|FIL30_432_M2|FIL30.432.M2",102,17,85,95,35,60,56,36,20,FALSE,FALSE,79,51,28,0.645569620253165,FALSE,"FIL30_432",TRUE,"FIL30_432_M2",61.5370528713463,"Self"
"FIL30_237_M229",180,30,"FIL30_237_M2","FIL20_25_E_M2",15,4,0,0,52,38,81,60,19,141,70.5,0.269503546099291,4.85,18.8333333333333,25.811170212766,23.5555555555556,"FIL30_237",NA,"FIL20_25","FIL20_25",4.85,"...","FIL30_237","FIL30_237_M2","FIL30_237_M2-4","FIL30_237|FIL30_237_M2|FIL30_237_M2-4",98,14,84,82,NA,82,24,24,NA,FALSE,FALSE,72,72,NA,1,TRUE,NA,FALSE,"FIL30_237_M2_4",34.7985077292588,"Cross","...","FIL20_25","FIL20_25_E_M2","Fil20_25_E_M2_1","FIL20_25|FIL20_25_E_M2|Fil20_25_E_M2_1",72,4,68,61,6,55,21,21,NA,TRUE,FALSE,57,51,6,0.894736842105263,FALSE,"FIL20_25",TRUE,"FIL20_25_E_M2_1",49.3165830227906,"Self"
"FIL20_161_F_M218",16,19,"FIL20_161_F_M2","FIL20_161_I_M2",7,1,2,0,22,21,42,33,10,75,37.5,0.266666666666667,5.13636363636364,7.07142857142857,12.845,14.8030303030303,"FIL20_161",NA,"FIL20_161","FIL20_161",5.13636363636364,"...","FIL20_161","FIL20_161_F_M2","Fil20_161_F_M2_1","FIL20_161|FIL20_161_F_M2|Fil20_161_F_M2_1",49,12,37,44,2,42,20,20,NA,TRUE,FALSE,36,34,2,0.944444444444444,FALSE,NA,FALSE,"FIL20_161_F_M2_1",54.4809977632488,"Ambiguous","...","FIL20_161","FIL20_161_I_M2","Fil20_161_I_M2_1","FIL20_161|FIL20_161_I_M2|Fil20_161_I_M2_1",35,2,33,34,6,28,12,12,NA,TRUE,FALSE,32,26,6,0.8125,FALSE,"FIL20_161",TRUE,"FIL20_161_I_M2_1",51.1738566504567,"Self"
