"","i","j","iSam","jSam","het_het","het_homo","homo_het","homo_homo","len_i","len_j","tot_i","tot_j","logicSum","totSum","totMean","totProp","crToIb","ibToCr","ibToIb","fs","iSam_mother","iSam_father","jSam_mother","jSam_father","""...""","mother","sample","origin","code","n_tot","n_delly","n_gatk","nr_n","nr_het","nr_homo","nr_uni","nr_uniHet","nr_uniHomo","motherDL","sampleDL","lfm_n","lfm_het","lfm_homo","lfm_hetProp","cp_logic","father","likelySelf","originMod","coverage","cp_status","""...""","mother","sample","origin","code","n_tot","n_delly","n_gatk","nr_n","nr_het","nr_homo","nr_uni","nr_uniHet","nr_uniHomo","motherDL","sampleDL","lfm_n","lfm_het","lfm_homo","lfm_hetProp","cp_logic","father","likelySelf","originMod","coverage","cp_status"
"FIL30_56_G_M2494",494,495,"FIL30_56_G_M2","FIL30_56_H_M2",46,10,4,8,80,77,90,99,68,189,94.5,0.71957671957672,7.68181818181818,16.6,17.5416666666667,0.26969696969697,"FIL30_56","FIL30_56","FIL30_56","FIL30_56","...","FIL30_56","FIL30_56_G_M2","Fil30_56_G_M2_1","FIL30_56|FIL30_56_G_M2|Fil30_56_G_M2_1",96,14,82,91,13,78,10,10,NA,TRUE,FALSE,77,64,13,0.831168831168831,FALSE,"FIL30_56",TRUE,"FIL30_56_G_M2_1",57.2006427557988,"Self","...","FIL30_56","FIL30_56_H_M2","Fil30_56_H_M2_1","FIL30_56|FIL30_56_H_M2|Fil30_56_H_M2_1",109,12,97,100,25,75,20,19,1,TRUE,FALSE,88,65,23,0.738636363636364,FALSE,"FIL30_56",TRUE,"FIL30_56_H_M2_1",56.6991454251293,"Self"
"FIL30_56_H_M2493",495,494,"FIL30_56_H_M2","FIL30_56_G_M2",46,4,10,8,77,80,99,90,68,189,94.5,0.71957671957672,16.6,7.68181818181818,17.5416666666667,0.26969696969697,"FIL30_56","FIL30_56","FIL30_56","FIL30_56","...","FIL30_56","FIL30_56_H_M2","Fil30_56_H_M2_1","FIL30_56|FIL30_56_H_M2|Fil30_56_H_M2_1",109,12,97,100,25,75,20,19,1,TRUE,FALSE,88,65,23,0.738636363636364,FALSE,"FIL30_56",TRUE,"FIL30_56_H_M2_1",56.6991454251293,"Self","...","FIL30_56","FIL30_56_G_M2","Fil30_56_G_M2_1","FIL30_56|FIL30_56_G_M2|Fil30_56_G_M2_1",96,14,82,91,13,78,10,10,NA,TRUE,FALSE,77,64,13,0.831168831168831,FALSE,"FIL30_56",TRUE,"FIL30_56_G_M2_1",57.2006427557988,"Self"
"FIL20_199_B_M221",21,22,"FIL20_199_B_M2","FIL20_199_D_M2",37,2,16,5,66,76,79,88,60,167,83.5,0.718562874251497,12.9431818181818,4.93037974683544,14.0860778443114,1.27186421173763,"FIL20_199","FIL20_199","FIL20_199","FIL20_199","...","FIL20_199","FIL20_199_B_M2","Fil20_199_B_M2_1","FIL20_199|FIL20_199_B_M2|Fil20_199_B_M2_1",88,13,75,80,23,57,12,12,NA,TRUE,FALSE,70,49,21,0.7,FALSE,"FIL20_199",TRUE,"FIL20_199_B_M2_1",49.4836214658742,"Self","...","FIL20_199","FIL20_199_D_M2","Fil20_199_D_M2_1","FIL20_199|FIL20_199_D_M2|Fil20_199_D_M2_1",99,13,86,90,9,81,12,12,NA,TRUE,FALSE,81,72,9,0.888888888888889,FALSE,"FIL20_199",TRUE,"FIL20_199_D_M2_1",52.613545768796,"Self"
"FIL20_199_D_M220",22,21,"FIL20_199_D_M2","FIL20_199_B_M2",37,16,2,5,76,66,88,79,60,167,83.5,0.718562874251497,4.93037974683544,12.9431818181818,14.0860778443114,1.27186421173763,"FIL20_199","FIL20_199","FIL20_199","FIL20_199","...","FIL20_199","FIL20_199_D_M2","Fil20_199_D_M2_1","FIL20_199|FIL20_199_D_M2|Fil20_199_D_M2_1",99,13,86,90,9,81,12,12,NA,TRUE,FALSE,81,72,9,0.888888888888889,FALSE,"FIL20_199",TRUE,"FIL20_199_D_M2_1",52.613545768796,"Self","...","FIL20_199","FIL20_199_B_M2","Fil20_199_B_M2_1","FIL20_199|FIL20_199_B_M2|Fil20_199_B_M2_1",88,13,75,80,23,57,12,12,NA,TRUE,FALSE,70,49,21,0.7,FALSE,"FIL20_199",TRUE,"FIL20_199_B_M2_1",49.4836214658742,"Self"
"FIL20_199_D_M222",22,23,"FIL20_199_D_M2","FIL20_199_E_M2",32,20,6,3,76,67,88,84,61,172,86,0.709302325581395,3.14285714285714,5.36363636363636,9.8953488372093,5.65367965367965,"FIL20_199","FIL20_199","FIL20_199","FIL20_199","...","FIL20_199","FIL20_199_D_M2","Fil20_199_D_M2_1","FIL20_199|FIL20_199_D_M2|Fil20_199_D_M2_1",99,13,86,90,9,81,12,12,NA,TRUE,FALSE,81,72,9,0.888888888888889,FALSE,"FIL20_199",TRUE,"FIL20_199_D_M2_1",52.613545768796,"Self","...","FIL20_199","FIL20_199_E_M2","Fil20_199_E_M2_1","FIL20_199|FIL20_199_E_M2|Fil20_199_E_M2_1",98,15,83,85,23,62,15,15,NA,TRUE,FALSE,74,54,20,0.72972972972973,FALSE,"FIL20_199",TRUE,"FIL20_199_E_M2_1",62.670881541412,"Self"
"FIL20_199_E_M221",23,22,"FIL20_199_E_M2","FIL20_199_D_M2",32,6,20,3,67,76,84,88,61,172,86,0.709302325581395,5.36363636363636,3.14285714285714,9.8953488372093,5.65367965367965,"FIL20_199","FIL20_199","FIL20_199","FIL20_199","...","FIL20_199","FIL20_199_E_M2","Fil20_199_E_M2_1","FIL20_199|FIL20_199_E_M2|Fil20_199_E_M2_1",98,15,83,85,23,62,15,15,NA,TRUE,FALSE,74,54,20,0.72972972972973,FALSE,"FIL20_199",TRUE,"FIL20_199_E_M2_1",62.670881541412,"Self","...","FIL20_199","FIL20_199_D_M2","Fil20_199_D_M2_1","FIL20_199|FIL20_199_D_M2|Fil20_199_D_M2_1",99,13,86,90,9,81,12,12,NA,TRUE,FALSE,81,72,9,0.888888888888889,FALSE,"FIL20_199",TRUE,"FIL20_199_D_M2_1",52.613545768796,"Self"
"FIL30_56_C_M2493",491,494,"FIL30_56_C_M2","FIL30_56_G_M2",39,7,7,5,65,80,77,90,58,167,83.5,0.694610778443114,6.96666666666667,9.57792207792208,11.9064371257485,0.806493506493506,"FIL30_56","FIL30_56","FIL30_56","FIL30_56","...","FIL30_56","FIL30_56_C_M2","Fil30_56_C_M2_1","FIL30_56|FIL30_56_C_M2|Fil30_56_C_M2_1",86,10,76,78,13,65,11,10,1,TRUE,FALSE,68,55,13,0.808823529411765,FALSE,"FIL30_56",TRUE,"FIL30_56_C_M2_1",56.4051244018114,"Self","...","FIL30_56","FIL30_56_G_M2","Fil30_56_G_M2_1","FIL30_56|FIL30_56_G_M2|Fil30_56_G_M2_1",96,14,82,91,13,78,10,10,NA,TRUE,FALSE,77,64,13,0.831168831168831,FALSE,"FIL30_56",TRUE,"FIL30_56_G_M2_1",57.2006427557988,"Self"
"FIL30_56_G_M2490",494,491,"FIL30_56_G_M2","FIL30_56_C_M2",39,7,7,5,80,65,90,77,58,167,83.5,0.694610778443114,9.57792207792208,6.96666666666667,11.9064371257485,0.806493506493506,"FIL30_56","FIL30_56","FIL30_56","FIL30_56","...","FIL30_56","FIL30_56_G_M2","Fil30_56_G_M2_1","FIL30_56|FIL30_56_G_M2|Fil30_56_G_M2_1",96,14,82,91,13,78,10,10,NA,TRUE,FALSE,77,64,13,0.831168831168831,FALSE,"FIL30_56",TRUE,"FIL30_56_G_M2_1",57.2006427557988,"Self","...","FIL30_56","FIL30_56_C_M2","Fil30_56_C_M2_1","FIL30_56|FIL30_56_C_M2|Fil30_56_C_M2_1",86,10,76,78,13,65,11,10,1,TRUE,FALSE,68,55,13,0.808823529411765,FALSE,"FIL30_56",TRUE,"FIL30_56_C_M2_1",56.4051244018114,"Self"
"FIL30_109_G_M264",62,65,"FIL30_109_G_M2","FIL30_109_J_M2",23,2,7,18,62,59,74,72,50,146,73,0.684931506849315,8.375,2.41891891891892,34.1061643835616,9.99174174174174,"FIL30_109","FIL30_109","FIL30_109","FIL30_109","...","FIL30_109","FIL30_109_G_M2","Fil30_109_G_M2_1","FIL30_109|FIL30_109_G_M2|Fil30_109_G_M2_1",79,11,68,75,28,47,12,11,1,TRUE,FALSE,66,38,28,0.575757575757576,FALSE,"FIL30_109",TRUE,"FIL30_109_G_M2_1",85.8312251644565,"Self","...","FIL30_109","FIL30_109_J_M2","Fil30_109_J_M2_1","FIL30_109|FIL30_109_J_M2|Fil30_109_J_M2_1",77,3,74,73,23,50,13,11,2,TRUE,FALSE,70,47,23,0.671428571428571,FALSE,"FIL30_109",TRUE,"FIL30_109_J_M2_1",67.2325707411647,"Self"
"FIL30_109_J_M261",65,62,"FIL30_109_J_M2","FIL30_109_G_M2",23,7,2,18,59,62,72,74,50,146,73,0.684931506849315,2.41891891891892,8.375,34.1061643835616,9.99174174174174,"FIL30_109","FIL30_109","FIL30_109","FIL30_109","...","FIL30_109","FIL30_109_J_M2","Fil30_109_J_M2_1","FIL30_109|FIL30_109_J_M2|Fil30_109_J_M2_1",77,3,74,73,23,50,13,11,2,TRUE,FALSE,70,47,23,0.671428571428571,FALSE,"FIL30_109",TRUE,"FIL30_109_J_M2_1",67.2325707411647,"Self","...","FIL30_109","FIL30_109_G_M2","Fil30_109_G_M2_1","FIL30_109|FIL30_109_G_M2|Fil30_109_G_M2_1",79,11,68,75,28,47,12,11,1,TRUE,FALSE,66,38,28,0.575757575757576,FALSE,"FIL30_109",TRUE,"FIL30_109_G_M2_1",85.8312251644565,"Self"
"FIL30_56_B_M2491",490,492,"FIL30_56_B_M2","FIL30_56_D_M2",26,22,11,3,76,77,90,92,62,182,91,0.681318681318681,3.60869565217391,1.6,7.61263736263736,16.7178743961353,"FIL30_56","FIL30_56","FIL30_56","FIL30_56","...","FIL30_56","FIL30_56_B_M2","Fil30_56_B_M2_1","FIL30_56|FIL30_56_B_M2|Fil30_56_B_M2_1",97,13,84,91,17,74,13,13,NA,TRUE,FALSE,78,62,16,0.794871794871795,FALSE,"FIL30_56",TRUE,"FIL30_56_B_M2_1",53.451204062933,"Self","...","FIL30_56","FIL30_56_D_M2","Fil30_56_D_M2_1","FIL30_56|FIL30_56_D_M2|Fil30_56_D_M2_1",102,14,88,94,26,68,15,15,NA,TRUE,FALSE,82,56,26,0.682926829268293,FALSE,"FIL30_56",TRUE,"FIL30_56_D_M2_1",80.7173154766932,"Self"
"FIL30_56_D_M2489",492,490,"FIL30_56_D_M2","FIL30_56_B_M2",26,11,22,3,77,76,92,90,62,182,91,0.681318681318681,1.6,3.60869565217391,7.61263736263736,16.7178743961353,"FIL30_56","FIL30_56","FIL30_56","FIL30_56","...","FIL30_56","FIL30_56_D_M2","Fil30_56_D_M2_1","FIL30_56|FIL30_56_D_M2|Fil30_56_D_M2_1",102,14,88,94,26,68,15,15,NA,TRUE,FALSE,82,56,26,0.682926829268293,FALSE,"FIL30_56",TRUE,"FIL30_56_D_M2_1",80.7173154766932,"Self","...","FIL30_56","FIL30_56_B_M2","Fil30_56_B_M2_1","FIL30_56|FIL30_56_B_M2|Fil30_56_B_M2_1",97,13,84,91,17,74,13,13,NA,TRUE,FALSE,78,62,16,0.794871794871795,FALSE,"FIL30_56",TRUE,"FIL30_56_B_M2_1",53.451204062933,"Self"
"FIL30_56_D_M2494",492,495,"FIL30_56_D_M2","FIL30_56_H_M2",23,17,18,7,77,77,92,99,65,191,95.5,0.680628272251309,3.04545454545455,2.3804347826087,2.91295811518325,25.6868686868687,"FIL30_56","FIL30_56","FIL30_56","FIL30_56","...","FIL30_56","FIL30_56_D_M2","Fil30_56_D_M2_1","FIL30_56|FIL30_56_D_M2|Fil30_56_D_M2_1",102,14,88,94,26,68,15,15,NA,TRUE,FALSE,82,56,26,0.682926829268293,FALSE,"FIL30_56",TRUE,"FIL30_56_D_M2_1",80.7173154766932,"Self","...","FIL30_56","FIL30_56_H_M2","Fil30_56_H_M2_1","FIL30_56|FIL30_56_H_M2|Fil30_56_H_M2_1",109,12,97,100,25,75,20,19,1,TRUE,FALSE,88,65,23,0.738636363636364,FALSE,"FIL30_56",TRUE,"FIL30_56_H_M2_1",56.6991454251293,"Self"
"FIL30_56_H_M2491",495,492,"FIL30_56_H_M2","FIL30_56_D_M2",23,18,17,7,77,77,99,92,65,191,95.5,0.680628272251309,2.3804347826087,3.04545454545455,2.91295811518325,25.6868686868687,"FIL30_56","FIL30_56","FIL30_56","FIL30_56","...","FIL30_56","FIL30_56_H_M2","Fil30_56_H_M2_1","FIL30_56|FIL30_56_H_M2|Fil30_56_H_M2_1",109,12,97,100,25,75,20,19,1,TRUE,FALSE,88,65,23,0.738636363636364,FALSE,"FIL30_56",TRUE,"FIL30_56_H_M2_1",56.6991454251293,"Self","...","FIL30_56","FIL30_56_D_M2","Fil30_56_D_M2_1","FIL30_56|FIL30_56_D_M2|Fil30_56_D_M2_1",102,14,88,94,26,68,15,15,NA,TRUE,FALSE,82,56,26,0.682926829268293,FALSE,"FIL30_56",TRUE,"FIL30_56_D_M2_1",80.7173154766932,"Self"
"FIL30_109_E_M264",60,65,"FIL30_109_E_M2","FIL30_109_J_M2",16,8,11,12,54,59,67,72,47,139,69.5,0.676258992805755,4,1.79850746268657,10.0098920863309,20.2529021558872,"FIL30_109","FIL30_109","FIL30_109","FIL30_109","...","FIL30_109","FIL30_109_E_M2","Fil30_109_E_M2_1","FIL30_109|FIL30_109_E_M2|Fil30_109_E_M2_1",73,8,65,68,23,45,12,12,NA,TRUE,FALSE,61,38,23,0.622950819672131,FALSE,"FIL30_109",TRUE,"FIL30_109_E_M2_1",37.6669998845358,"Self","...","FIL30_109","FIL30_109_J_M2","Fil30_109_J_M2_1","FIL30_109|FIL30_109_J_M2|Fil30_109_J_M2_1",77,3,74,73,23,50,13,11,2,TRUE,FALSE,70,47,23,0.671428571428571,FALSE,"FIL30_109",TRUE,"FIL30_109_J_M2_1",67.2325707411647,"Self"
"FIL30_109_J_M259",65,60,"FIL30_109_J_M2","FIL30_109_E_M2",16,11,8,12,59,54,72,67,47,139,69.5,0.676258992805755,1.79850746268657,4,10.0098920863309,20.2529021558872,"FIL30_109","FIL30_109","FIL30_109","FIL30_109","...","FIL30_109","FIL30_109_J_M2","Fil30_109_J_M2_1","FIL30_109|FIL30_109_J_M2|Fil30_109_J_M2_1",77,3,74,73,23,50,13,11,2,TRUE,FALSE,70,47,23,0.671428571428571,FALSE,"FIL30_109",TRUE,"FIL30_109_J_M2_1",67.2325707411647,"Self","...","FIL30_109","FIL30_109_E_M2","Fil30_109_E_M2_1","FIL30_109|FIL30_109_E_M2|Fil30_109_E_M2_1",73,8,65,68,23,45,12,12,NA,TRUE,FALSE,61,38,23,0.622950819672131,FALSE,"FIL30_109",TRUE,"FIL30_109_E_M2_1",37.6669998845358,"Self"
