"","i","j","iSam","jSam","het_het","het_homo","homo_het","homo_homo","len_i","len_j","tot_i","tot_j","logicSum","totSum","totMean","totProp","crToIb","ibToCr","ibToIb","fs","iSam_mother","iSam_father","jSam_mother","jSam_father","""...""","mother","sample","origin","code","n_tot","n_delly","n_gatk","nr_n","nr_het","nr_homo","nr_uni","nr_uniHet","nr_uniHomo","motherDL","sampleDL","lfm_n","lfm_het","lfm_homo","lfm_hetProp","cp_logic","father","likelySelf","originMod","coverage","cp_status","""...""","mother","sample","origin","code","n_tot","n_delly","n_gatk","nr_n","nr_het","nr_homo","nr_uni","nr_uniHet","nr_uniHomo","motherDL","sampleDL","lfm_n","lfm_het","lfm_homo","lfm_hetProp","cp_logic","father","likelySelf","originMod","coverage","cp_status"
"FIL30_608_M2748",544,749,"FIL30_608_M2","FIL30_861_M2",30,0,34,2,68,70,99,126,66,225,112.5,0.586666666666667,24.4285714285714,18.8333333333333,38.455,24.9675324675325,"FIL30_608","FIL30_608","FIL30_861",NA,"...","FIL30_608","FIL30_608_M2","FIL30.608.M2","FIL30_608|FIL30_608_M2|FIL30.608.M2",111,9,102,100,38,62,28,26,2,FALSE,FALSE,91,54,37,0.593406593406593,FALSE,"FIL30_608",TRUE,"FIL30_608_M2",52.7723593539005,"Self","...","FIL30_861","FIL30_861_M2","FIL30.861.M2","FIL30_861|FIL30_861_M2|FIL30.861.M2",135,17,118,128,3,125,54,53,1,FALSE,FALSE,114,112,2,0.982456140350877,FALSE,NA,FALSE,"FIL30_861_M2",78.0269842539199,"Ambiguous"
"FIL30_861_M2543",749,544,"FIL30_861_M2","FIL30_608_M2",30,34,0,2,70,68,126,99,66,225,112.5,0.586666666666667,18.8333333333333,24.4285714285714,38.455,24.9675324675325,"FIL30_861",NA,"FIL30_608","FIL30_608","...","FIL30_861","FIL30_861_M2","FIL30.861.M2","FIL30_861|FIL30_861_M2|FIL30.861.M2",135,17,118,128,3,125,54,53,1,FALSE,FALSE,114,112,2,0.982456140350877,FALSE,NA,FALSE,"FIL30_861_M2",78.0269842539199,"Ambiguous","...","FIL30_608","FIL30_608_M2","FIL30.608.M2","FIL30_608|FIL30_608_M2|FIL30.608.M2",111,9,102,100,38,62,28,26,2,FALSE,FALSE,91,54,37,0.593406593406593,FALSE,"FIL30_608",TRUE,"FIL30_608_M2",52.7723593539005,"Self"
"FIL30_56_D_M2495",492,496,"FIL30_56_D_M2","FIL30_56_I_M2",37,0,18,0,77,60,92,96,55,188,94,0.585106382978723,16.78125,1.77173913043478,24.8723404255319,4.28170289855072,"FIL30_56","FIL30_56","FIL30_56",NA,"...","FIL30_56","FIL30_56_D_M2","Fil30_56_D_M2_1","FIL30_56|FIL30_56_D_M2|Fil30_56_D_M2_1",102,14,88,94,26,68,15,15,NA,TRUE,FALSE,82,56,26,0.682926829268293,FALSE,"FIL30_56",TRUE,"FIL30_56_D_M2_1",80.7173154766932,"Self","...","FIL30_56","FIL30_56_I_M2","Fil30_56_I_M2_1","FIL30_56|FIL30_56_I_M2|Fil30_56_I_M2_1",100,10,90,97,NA,97,36,36,NA,TRUE,FALSE,87,87,NA,1,TRUE,NA,FALSE,"FIL30_56_I_M2_1",49.3066239956887,"Cross"
"FIL30_56_I_M2491",496,492,"FIL30_56_I_M2","FIL30_56_D_M2",37,18,0,0,60,77,96,92,55,188,94,0.585106382978723,1.77173913043478,16.78125,24.8723404255319,4.28170289855072,"FIL30_56",NA,"FIL30_56","FIL30_56","...","FIL30_56","FIL30_56_I_M2","Fil30_56_I_M2_1","FIL30_56|FIL30_56_I_M2|Fil30_56_I_M2_1",100,10,90,97,NA,97,36,36,NA,TRUE,FALSE,87,87,NA,1,TRUE,NA,FALSE,"FIL30_56_I_M2_1",49.3066239956887,"Cross","...","FIL30_56","FIL30_56_D_M2","Fil30_56_D_M2_1","FIL30_56|FIL30_56_D_M2|Fil30_56_D_M2_1",102,14,88,94,26,68,15,15,NA,TRUE,FALSE,82,56,26,0.682926829268293,FALSE,"FIL30_56",TRUE,"FIL30_56_D_M2_1",80.7173154766932,"Self"
"FIL30_416_M2354",354,355,"FIL30_416_M2","FIL30_417_M2",21,6,10,10,58,52,87,76,47,163,81.5,0.576687116564417,4.25,3.60344827586207,8.09432515337423,19.2431941923775,"FIL30_416","FIL30_416","FIL30_417","FIL30_417","...","FIL30_416","FIL30_416_M2","FIL30.416.M2","FIL30_416|FIL30_416_M2|FIL30.416.M2",99,36,63,87,24,63,26,22,4,FALSE,FALSE,60,40,20,0.666666666666667,FALSE,"FIL30_416",TRUE,"FIL30_416_M2",53.5377372265322,"Self","...","FIL30_417","FIL30_417_M2","FIL30.417.M2","FIL30_417|FIL30_417_M2|FIL30.417.M2",88,20,68,76,21,55,21,17,4,FALSE,FALSE,60,40,20,0.666666666666667,FALSE,"FIL30_417",TRUE,"FIL30_417_M2",60.3000608192961,"Self"
"FIL30_417_M2353",355,354,"FIL30_417_M2","FIL30_416_M2",21,10,6,10,52,58,76,87,47,163,81.5,0.576687116564417,3.60344827586207,4.25,8.09432515337423,19.2431941923775,"FIL30_417","FIL30_417","FIL30_416","FIL30_416","...","FIL30_417","FIL30_417_M2","FIL30.417.M2","FIL30_417|FIL30_417_M2|FIL30.417.M2",88,20,68,76,21,55,21,17,4,FALSE,FALSE,60,40,20,0.666666666666667,FALSE,"FIL30_417",TRUE,"FIL30_417_M2",60.3000608192961,"Self","...","FIL30_416","FIL30_416_M2","FIL30.416.M2","FIL30_416|FIL30_416_M2|FIL30.416.M2",99,36,63,87,24,63,26,22,4,FALSE,FALSE,60,40,20,0.666666666666667,FALSE,"FIL30_416",TRUE,"FIL30_416_M2",53.5377372265322,"Self"
"FIL30_85_C_M2734",734,735,"FIL30_85_C_M2","FIL30_85_D_M2",6,6,9,0,27,29,36,37,21,73,36.5,0.575342465753425,3.25675675675676,4.5,7.56678082191781,16.4459459459459,"FIL30_85","FIL30_85","FIL30_85","FIL30_85","...","FIL30_85","FIL30_85_C_M2","Fil30_85_C_M2_1","FIL30_85|FIL30_85_C_M2|Fil30_85_C_M2_1",47,13,34,38,13,25,8,8,NA,TRUE,FALSE,32,22,10,0.6875,FALSE,"FIL30_85",TRUE,"FIL30_85_C_M2_1",59.1921283504532,"Self","...","FIL30_85","FIL30_85_D_M2","Fil30_85_D_M2_1","FIL30_85|FIL30_85_D_M2|Fil30_85_D_M2_1",49,12,37,39,8,31,7,6,1,TRUE,FALSE,34,26,8,0.764705882352941,FALSE,"FIL30_85",TRUE,"FIL30_85_D_M2_1",55.7777370937757,"Self"
"FIL30_85_D_M2733",735,734,"FIL30_85_D_M2","FIL30_85_C_M2",6,9,6,0,29,27,37,36,21,73,36.5,0.575342465753425,4.5,3.25675675675676,7.56678082191781,16.4459459459459,"FIL30_85","FIL30_85","FIL30_85","FIL30_85","...","FIL30_85","FIL30_85_D_M2","Fil30_85_D_M2_1","FIL30_85|FIL30_85_D_M2|Fil30_85_D_M2_1",49,12,37,39,8,31,7,6,1,TRUE,FALSE,34,26,8,0.764705882352941,FALSE,"FIL30_85",TRUE,"FIL30_85_D_M2_1",55.7777370937757,"Self","...","FIL30_85","FIL30_85_C_M2","Fil30_85_C_M2_1","FIL30_85|FIL30_85_C_M2|Fil30_85_C_M2_1",47,13,34,38,13,25,8,8,NA,TRUE,FALSE,32,22,10,0.6875,FALSE,"FIL30_85",TRUE,"FIL30_85_C_M2_1",59.1921283504532,"Self"
"FIL30_343_M2286",284,287,"FIL30_343_M2","FIL30_346_M2",22,2,16,2,52,53,74,73,42,147,73.5,0.571428571428571,8.71917808219178,1.37837837837838,12.7576530612245,11.8413550536838,"FIL30_343","FIL30_343","FIL30_346",NA,"...","FIL30_343","FIL30_343_M2","FIL30.343.M2","FIL30_343|FIL30_343_M2|FIL30.343.M2",82,11,71,74,29,45,20,14,6,FALSE,FALSE,67,41,26,0.611940298507463,FALSE,"FIL30_343",TRUE,"FIL30_343_M2",68.7034932963292,"Self","...","FIL30_346","FIL30_346_M2","FIL30.346.M2","FIL30_346|FIL30_346_M2|FIL30.346.M2",87,19,68,74,6,68,18,16,2,FALSE,FALSE,62,56,6,0.903225806451613,FALSE,NA,FALSE,"FIL30_346_M2",50.0141342700332,"Ambiguous"
"FIL30_346_M2283",287,284,"FIL30_346_M2","FIL30_343_M2",22,16,2,2,53,52,73,74,42,147,73.5,0.571428571428571,1.37837837837838,8.71917808219178,12.7576530612245,11.8413550536838,"FIL30_346",NA,"FIL30_343","FIL30_343","...","FIL30_346","FIL30_346_M2","FIL30.346.M2","FIL30_346|FIL30_346_M2|FIL30.346.M2",87,19,68,74,6,68,18,16,2,FALSE,FALSE,62,56,6,0.903225806451613,FALSE,NA,FALSE,"FIL30_346_M2",50.0141342700332,"Ambiguous","...","FIL30_343","FIL30_343_M2","FIL30.343.M2","FIL30_343|FIL30_343_M2|FIL30.343.M2",82,11,71,74,29,45,20,14,6,FALSE,FALSE,67,41,26,0.611940298507463,FALSE,"FIL30_343",TRUE,"FIL30_343_M2",68.7034932963292,"Self"
"FIL20_105_C_M25",3,6,"FIL20_105_C_M2","FIL20_105_H_M2",17,6,7,10,63,50,81,60,40,141,70.5,0.567375886524823,2.05,6.83333333333333,9.4281914893617,19.2691358024691,"FIL20_105","FIL20_105","FIL20_105","FIL20_105","...","FIL20_105","FIL20_105_C_M2","Fil20_105_C_M2_1","FIL20_105|FIL20_105_C_M2|Fil20_105_C_M2_1",84,15,69,82,27,55,18,17,1,TRUE,FALSE,68,42,26,0.617647058823529,FALSE,"FIL20_105",TRUE,"FIL20_105_C_M2_1",94.5350828300937,"Self","...","FIL20_105","FIL20_105_H_M2","Fil20_105_H_M2_1","FIL20_105|FIL20_105_H_M2|Fil20_105_H_M2_1",62,13,49,61,20,41,10,9,1,TRUE,FALSE,49,31,18,0.63265306122449,FALSE,"FIL20_105",TRUE,"FIL20_105_H_M2_1",98.9825444027362,"Self"
"FIL20_105_H_M22",6,3,"FIL20_105_H_M2","FIL20_105_C_M2",17,7,6,10,50,63,60,81,40,141,70.5,0.567375886524823,6.83333333333333,2.05,9.4281914893617,19.2691358024691,"FIL20_105","FIL20_105","FIL20_105","FIL20_105","...","FIL20_105","FIL20_105_H_M2","Fil20_105_H_M2_1","FIL20_105|FIL20_105_H_M2|Fil20_105_H_M2_1",62,13,49,61,20,41,10,9,1,TRUE,FALSE,49,31,18,0.63265306122449,FALSE,"FIL20_105",TRUE,"FIL20_105_H_M2_1",98.9825444027362,"Self","...","FIL20_105","FIL20_105_C_M2","Fil20_105_C_M2_1","FIL20_105|FIL20_105_C_M2|Fil20_105_C_M2_1",84,15,69,82,27,55,18,17,1,TRUE,FALSE,68,42,26,0.617647058823529,FALSE,"FIL20_105",TRUE,"FIL20_105_C_M2_1",94.5350828300937,"Self"
"FIL30_109_E_M261",60,62,"FIL30_109_E_M2","FIL30_109_G_M2",9,13,7,11,54,62,67,74,40,141,70.5,0.567375886524823,9.98648648648649,9.51492537313433,15.4707446808511,39.1070996369504,"FIL30_109","FIL30_109","FIL30_109","FIL30_109","...","FIL30_109","FIL30_109_E_M2","Fil30_109_E_M2_1","FIL30_109|FIL30_109_E_M2|Fil30_109_E_M2_1",73,8,65,68,23,45,12,12,NA,TRUE,FALSE,61,38,23,0.622950819672131,FALSE,"FIL30_109",TRUE,"FIL30_109_E_M2_1",37.6669998845358,"Self","...","FIL30_109","FIL30_109_G_M2","Fil30_109_G_M2_1","FIL30_109|FIL30_109_G_M2|Fil30_109_G_M2_1",79,11,68,75,28,47,12,11,1,TRUE,FALSE,66,38,28,0.575757575757576,FALSE,"FIL30_109",TRUE,"FIL30_109_G_M2_1",85.8312251644565,"Self"
"FIL30_109_G_M259",62,60,"FIL30_109_G_M2","FIL30_109_E_M2",9,7,13,11,62,54,74,67,40,141,70.5,0.567375886524823,9.51492537313433,9.98648648648649,15.4707446808511,39.1070996369504,"FIL30_109","FIL30_109","FIL30_109","FIL30_109","...","FIL30_109","FIL30_109_G_M2","Fil30_109_G_M2_1","FIL30_109|FIL30_109_G_M2|Fil30_109_G_M2_1",79,11,68,75,28,47,12,11,1,TRUE,FALSE,66,38,28,0.575757575757576,FALSE,"FIL30_109",TRUE,"FIL30_109_G_M2_1",85.8312251644565,"Self","...","FIL30_109","FIL30_109_E_M2","Fil30_109_E_M2_1","FIL30_109|FIL30_109_E_M2|Fil30_109_E_M2_1",73,8,65,68,23,45,12,12,NA,TRUE,FALSE,61,38,23,0.622950819672131,FALSE,"FIL30_109",TRUE,"FIL30_109_E_M2_1",37.6669998845358,"Self"
"FIL20_105_A_M21",1,2,"FIL20_105_A_M2","FIL20_105_B_M2",20,3,6,15,59,54,84,74,44,158,79,0.556962025316456,7.94594594594595,6.85714285714286,24.0348101265823,19.3346203346203,"FIL20_105","FIL20_105","FIL20_105","FIL20_105","...","FIL20_105","FIL20_105_A_M2","Fil20_105_A_M2_1","FIL20_105|FIL20_105_A_M2|Fil20_105_A_M2_1",90,11,79,86,25,61,24,24,NA,TRUE,FALSE,77,53,24,0.688311688311688,FALSE,"FIL20_105",TRUE,"FIL20_105_A_M2_1",56.0546034905925,"Self","...","FIL20_105","FIL20_105_B_M2","Fil20_105_B_M2_1","FIL20_105|FIL20_105_B_M2|Fil20_105_B_M2_1",77,14,63,76,22,54,20,20,NA,TRUE,FALSE,62,42,20,0.67741935483871,FALSE,"FIL20_105",TRUE,"FIL20_105_B_M2_1",43.8539083565482,"Self"
"FIL20_105_B_M2",2,1,"FIL20_105_B_M2","FIL20_105_A_M2",20,6,3,15,54,59,74,84,44,158,79,0.556962025316456,6.85714285714286,7.94594594594595,24.0348101265823,19.3346203346203,"FIL20_105","FIL20_105","FIL20_105","FIL20_105","...","FIL20_105","FIL20_105_B_M2","Fil20_105_B_M2_1","FIL20_105|FIL20_105_B_M2|Fil20_105_B_M2_1",77,14,63,76,22,54,20,20,NA,TRUE,FALSE,62,42,20,0.67741935483871,FALSE,"FIL20_105",TRUE,"FIL20_105_B_M2_1",43.8539083565482,"Self","...","FIL20_105","FIL20_105_A_M2","Fil20_105_A_M2_1","FIL20_105|FIL20_105_A_M2|Fil20_105_A_M2_1",90,11,79,86,25,61,24,24,NA,TRUE,FALSE,77,53,24,0.688311688311688,FALSE,"FIL20_105",TRUE,"FIL20_105_A_M2_1",56.0546034905925,"Self"
"FIL20_105_A_M23",1,4,"FIL20_105_A_M2","FIL20_105_D_M2",13,12,9,13,59,66,84,85,47,169,84.5,0.556213017751479,8.62941176470588,9.82142857142857,15.3513313609467,40.5002801120448,"FIL20_105","FIL20_105","FIL20_105","FIL20_105","...","FIL20_105","FIL20_105_A_M2","Fil20_105_A_M2_1","FIL20_105|FIL20_105_A_M2|Fil20_105_A_M2_1",90,11,79,86,25,61,24,24,NA,TRUE,FALSE,77,53,24,0.688311688311688,FALSE,"FIL20_105",TRUE,"FIL20_105_A_M2_1",56.0546034905925,"Self","...","FIL20_105","FIL20_105_D_M2","Fil20_105_D_M2_1","FIL20_105|FIL20_105_D_M2|Fil20_105_D_M2_1",89,22,67,86,31,55,18,16,2,TRUE,FALSE,66,41,25,0.621212121212121,FALSE,"FIL20_105",TRUE,"FIL20_105_D_M2_1",44.3666667585459,"Self"
"FIL20_105_D_M2",4,1,"FIL20_105_D_M2","FIL20_105_A_M2",13,9,12,13,66,59,85,84,47,169,84.5,0.556213017751479,9.82142857142857,8.62941176470588,15.3513313609467,40.5002801120448,"FIL20_105","FIL20_105","FIL20_105","FIL20_105","...","FIL20_105","FIL20_105_D_M2","Fil20_105_D_M2_1","FIL20_105|FIL20_105_D_M2|Fil20_105_D_M2_1",89,22,67,86,31,55,18,16,2,TRUE,FALSE,66,41,25,0.621212121212121,FALSE,"FIL20_105",TRUE,"FIL20_105_D_M2_1",44.3666667585459,"Self","...","FIL20_105","FIL20_105_A_M2","Fil20_105_A_M2_1","FIL20_105|FIL20_105_A_M2|Fil20_105_A_M2_1",90,11,79,86,25,61,24,24,NA,TRUE,FALSE,77,53,24,0.688311688311688,FALSE,"FIL20_105",TRUE,"FIL20_105_A_M2_1",56.0546034905925,"Self"
"FIL20_97_A_M247",46,48,"FIL20_97_A_M2","FIL20_97_C_M2",9,7,3,1,30,27,37,35,20,72,36,0.555555555555556,0.842857142857143,2.52702702702703,3.75,9.00694980694981,"FIL20_97","FIL20_97","FIL20_97","FIL20_97","...","FIL20_97","FIL20_97_A_M2","Fil20_97_A_M2_1","FIL20_97|FIL20_97_A_M2|Fil20_97_A_M2_1",46,13,33,38,5,33,7,7,NA,TRUE,FALSE,32,27,5,0.84375,FALSE,"FIL20_97",TRUE,"FIL20_97_A_M2_1",69.7598781168918,"Self","...","FIL20_97","FIL20_97_C_M2","Fil20_97_C_M2_1","FIL20_97|FIL20_97_C_M2|Fil20_97_C_M2_1",38,4,34,36,9,27,8,8,NA,TRUE,FALSE,33,24,9,0.727272727272727,FALSE,"FIL20_97",TRUE,"FIL20_97_C_M2_1",56.6952431377555,"Self"
"FIL20_97_C_M245",48,46,"FIL20_97_C_M2","FIL20_97_A_M2",9,3,7,1,27,30,35,37,20,72,36,0.555555555555556,2.52702702702703,0.842857142857143,3.75,9.00694980694981,"FIL20_97","FIL20_97","FIL20_97","FIL20_97","...","FIL20_97","FIL20_97_C_M2","Fil20_97_C_M2_1","FIL20_97|FIL20_97_C_M2|Fil20_97_C_M2_1",38,4,34,36,9,27,8,8,NA,TRUE,FALSE,33,24,9,0.727272727272727,FALSE,"FIL20_97",TRUE,"FIL20_97_C_M2_1",56.6952431377555,"Self","...","FIL20_97","FIL20_97_A_M2","Fil20_97_A_M2_1","FIL20_97|FIL20_97_A_M2|Fil20_97_A_M2_1",46,13,33,38,5,33,7,7,NA,TRUE,FALSE,32,27,5,0.84375,FALSE,"FIL20_97",TRUE,"FIL20_97_A_M2_1",69.7598781168918,"Self"
"FIL30_56_H_M2495",495,496,"FIL30_56_H_M2","FIL30_56_I_M2",36,0,18,0,77,60,99,96,54,195,97.5,0.553846153846154,16.5,0.409090909090909,24.9403846153846,6.68181818181818,"FIL30_56","FIL30_56","FIL30_56",NA,"...","FIL30_56","FIL30_56_H_M2","Fil30_56_H_M2_1","FIL30_56|FIL30_56_H_M2|Fil30_56_H_M2_1",109,12,97,100,25,75,20,19,1,TRUE,FALSE,88,65,23,0.738636363636364,FALSE,"FIL30_56",TRUE,"FIL30_56_H_M2_1",56.6991454251293,"Self","...","FIL30_56","FIL30_56_I_M2","Fil30_56_I_M2_1","FIL30_56|FIL30_56_I_M2|Fil30_56_I_M2_1",100,10,90,97,NA,97,36,36,NA,TRUE,FALSE,87,87,NA,1,TRUE,NA,FALSE,"FIL30_56_I_M2_1",49.3066239956887,"Cross"
"FIL30_56_I_M2494",496,495,"FIL30_56_I_M2","FIL30_56_H_M2",36,18,0,0,60,77,96,99,54,195,97.5,0.553846153846154,0.409090909090909,16.5,24.9403846153846,6.68181818181818,"FIL30_56",NA,"FIL30_56","FIL30_56","...","FIL30_56","FIL30_56_I_M2","Fil30_56_I_M2_1","FIL30_56|FIL30_56_I_M2|Fil30_56_I_M2_1",100,10,90,97,NA,97,36,36,NA,TRUE,FALSE,87,87,NA,1,TRUE,NA,FALSE,"FIL30_56_I_M2_1",49.3066239956887,"Cross","...","FIL30_56","FIL30_56_H_M2","Fil30_56_H_M2_1","FIL30_56|FIL30_56_H_M2|Fil30_56_H_M2_1",109,12,97,100,25,75,20,19,1,TRUE,FALSE,88,65,23,0.738636363636364,FALSE,"FIL30_56",TRUE,"FIL30_56_H_M2_1",56.6991454251293,"Self"
"FIL30_109_E_M262",60,63,"FIL30_109_E_M2","FIL30_109_H_M2",23,2,3,14,54,64,67,86,42,153,76.5,0.549019607843137,11.7325581395349,5.99253731343283,25.8848039215686,12.5933703575148,"FIL30_109","FIL30_109","FIL30_109","FIL30_109","...","FIL30_109","FIL30_109_E_M2","Fil30_109_E_M2_1","FIL30_109|FIL30_109_E_M2|Fil30_109_E_M2_1",73,8,65,68,23,45,12,12,NA,TRUE,FALSE,61,38,23,0.622950819672131,FALSE,"FIL30_109",TRUE,"FIL30_109_E_M2_1",37.6669998845358,"Self","...","FIL30_109","FIL30_109_H_M2","Fil30_109_H_M2_1","FIL30_109|FIL30_109_H_M2|Fil30_109_H_M2_1",95,14,81,87,23,64,22,22,NA,TRUE,FALSE,76,53,23,0.697368421052632,FALSE,"FIL30_109",TRUE,"FIL30_109_H_M2_1",54.1877348169545,"Self"
"FIL30_109_H_M259",63,60,"FIL30_109_H_M2","FIL30_109_E_M2",23,3,2,14,64,54,86,67,42,153,76.5,0.549019607843137,5.99253731343283,11.7325581395349,25.8848039215686,12.5933703575148,"FIL30_109","FIL30_109","FIL30_109","FIL30_109","...","FIL30_109","FIL30_109_H_M2","Fil30_109_H_M2_1","FIL30_109|FIL30_109_H_M2|Fil30_109_H_M2_1",95,14,81,87,23,64,22,22,NA,TRUE,FALSE,76,53,23,0.697368421052632,FALSE,"FIL30_109",TRUE,"FIL30_109_H_M2_1",54.1877348169545,"Self","...","FIL30_109","FIL30_109_E_M2","Fil30_109_E_M2_1","FIL30_109|FIL30_109_E_M2|Fil30_109_E_M2_1",73,8,65,68,23,45,12,12,NA,TRUE,FALSE,61,38,23,0.622950819672131,FALSE,"FIL30_109",TRUE,"FIL30_109_E_M2_1",37.6669998845358,"Self"
"FIL30_158_M2206",108,207,"FIL30_158_M2","FIL30_267_M2",21,7,7,8,44,44,77,81,43,158,79,0.544303797468354,4.46296296296296,3.5,7.16139240506329,17.3434343434343,"FIL30_158","FIL30_158","FIL30_267","FIL30_267","...","FIL30_158","FIL30_158_M2","FIL30_158_M2-3","FIL30_158|FIL30_158_M2|FIL30_158_M2-3",83,15,68,78,22,56,30,24,6,FALSE,FALSE,64,43,21,0.671875,FALSE,"FIL30_158",TRUE,"FIL30_158_M2_3",42.8435692976333,"Self","...","FIL30_267","FIL30_267_M2","FIL30_267_M2-4","FIL30_267|FIL30_267_M2|FIL30_267_M2-4",82,11,71,82,17,65,37,35,2,FALSE,FALSE,71,55,16,0.774647887323944,FALSE,"FIL30_267",TRUE,"FIL30_267_M2_4",78.7408015423712,"Self"
"FIL30_267_M2107",207,108,"FIL30_267_M2","FIL30_158_M2",21,7,7,8,44,44,81,77,43,158,79,0.544303797468354,3.5,4.46296296296296,7.16139240506329,17.3434343434343,"FIL30_267","FIL30_267","FIL30_158","FIL30_158","...","FIL30_267","FIL30_267_M2","FIL30_267_M2-4","FIL30_267|FIL30_267_M2|FIL30_267_M2-4",82,11,71,82,17,65,37,35,2,FALSE,FALSE,71,55,16,0.774647887323944,FALSE,"FIL30_267",TRUE,"FIL30_267_M2_4",78.7408015423712,"Self","...","FIL30_158","FIL30_158_M2","FIL30_158_M2-3","FIL30_158|FIL30_158_M2|FIL30_158_M2-3",83,15,68,78,22,56,30,24,6,FALSE,FALSE,64,43,21,0.671875,FALSE,"FIL30_158",TRUE,"FIL30_158_M2_3",42.8435692976333,"Self"
"FIL30_488_M2449",425,450,"FIL30_488_M2","FIL30_517_M2",12,3,11,9,41,37,55,74,35,129,64.5,0.542635658914729,13.5675675675676,2.55454545454545,12.2354651162791,25.6282555282555,"FIL30_488","FIL30_488","FIL30_517","FIL30_517","...","FIL30_488","FIL30_488_M2","FIL30.488.M2","FIL30_488|FIL30_488_M2|FIL30.488.M2",60,10,50,57,24,33,14,12,2,FALSE,FALSE,50,27,23,0.54,FALSE,"FIL30_488",TRUE,"FIL30_488_M2",53.7867327589745,"Self","...","FIL30_517","FIL30_517_M2","FIL30.517.M2","FIL30_517|FIL30_517_M2|FIL30.517.M2",79,13,66,74,16,58,32,29,3,FALSE,FALSE,64,48,16,0.75,FALSE,"FIL30_517",TRUE,"FIL30_517_M2",55.7550644061127,"Self"
"FIL30_517_M2424",450,425,"FIL30_517_M2","FIL30_488_M2",12,11,3,9,37,41,74,55,35,129,64.5,0.542635658914729,2.55454545454545,13.5675675675676,12.2354651162791,25.6282555282555,"FIL30_517","FIL30_517","FIL30_488","FIL30_488","...","FIL30_517","FIL30_517_M2","FIL30.517.M2","FIL30_517|FIL30_517_M2|FIL30.517.M2",79,13,66,74,16,58,32,29,3,FALSE,FALSE,64,48,16,0.75,FALSE,"FIL30_517",TRUE,"FIL30_517_M2",55.7550644061127,"Self","...","FIL30_488","FIL30_488_M2","FIL30.488.M2","FIL30_488|FIL30_488_M2|FIL30.488.M2",60,10,50,57,24,33,14,12,2,FALSE,FALSE,50,27,23,0.54,FALSE,"FIL30_488",TRUE,"FIL30_488_M2",53.7867327589745,"Self"
"FIL20_105_D_M24",4,5,"FIL20_105_D_M2","FIL20_105_G_M2",11,11,6,14,66,53,85,70,42,155,77.5,0.541935483870968,6.55714285714286,15.3117647058824,21.3120967741935,39.8042016806723,"FIL20_105","FIL20_105","FIL20_105","FIL20_105","...","FIL20_105","FIL20_105_D_M2","Fil20_105_D_M2_1","FIL20_105|FIL20_105_D_M2|Fil20_105_D_M2_1",89,22,67,86,31,55,18,16,2,TRUE,FALSE,66,41,25,0.621212121212121,FALSE,"FIL20_105",TRUE,"FIL20_105_D_M2_1",44.3666667585459,"Self","...","FIL20_105","FIL20_105_G_M2","Fil20_105_G_M2_1","FIL20_105|FIL20_105_G_M2|Fil20_105_G_M2_1",75,11,64,71,26,45,16,16,NA,TRUE,FALSE,60,37,23,0.616666666666667,FALSE,"FIL20_105",TRUE,"FIL20_105_G_M2_1",62.051560044058,"Self"
"FIL20_105_G_M23",5,4,"FIL20_105_G_M2","FIL20_105_D_M2",11,6,11,14,53,66,70,85,42,155,77.5,0.541935483870968,15.3117647058824,6.55714285714286,21.3120967741935,39.8042016806723,"FIL20_105","FIL20_105","FIL20_105","FIL20_105","...","FIL20_105","FIL20_105_G_M2","Fil20_105_G_M2_1","FIL20_105|FIL20_105_G_M2|Fil20_105_G_M2_1",75,11,64,71,26,45,16,16,NA,TRUE,FALSE,60,37,23,0.616666666666667,FALSE,"FIL20_105",TRUE,"FIL20_105_G_M2_1",62.051560044058,"Self","...","FIL20_105","FIL20_105_D_M2","Fil20_105_D_M2_1","FIL20_105|FIL20_105_D_M2|Fil20_105_D_M2_1",89,22,67,86,31,55,18,16,2,TRUE,FALSE,66,41,25,0.621212121212121,FALSE,"FIL20_105",TRUE,"FIL20_105_D_M2_1",44.3666667585459,"Self"
"FIL20_105_B_M24",2,5,"FIL20_105_B_M2","FIL20_105_G_M2",14,10,5,10,54,53,74,70,39,144,72,0.541666666666667,3.97142857142857,8.97297297297298,11.25,26.8972972972973,"FIL20_105","FIL20_105","FIL20_105","FIL20_105","...","FIL20_105","FIL20_105_B_M2","Fil20_105_B_M2_1","FIL20_105|FIL20_105_B_M2|Fil20_105_B_M2_1",77,14,63,76,22,54,20,20,NA,TRUE,FALSE,62,42,20,0.67741935483871,FALSE,"FIL20_105",TRUE,"FIL20_105_B_M2_1",43.8539083565482,"Self","...","FIL20_105","FIL20_105_G_M2","Fil20_105_G_M2_1","FIL20_105|FIL20_105_G_M2|Fil20_105_G_M2_1",75,11,64,71,26,45,16,16,NA,TRUE,FALSE,60,37,23,0.616666666666667,FALSE,"FIL20_105",TRUE,"FIL20_105_G_M2_1",62.051560044058,"Self"
